index,som_key,lon,lat
0,47,5.1246963580000005,52.32674177
1,234,5.132068053999999,52.32674177
2,295,5.139439749,52.32674177
3,1619,5.102581273,52.33122322
4,354,5.109952968,52.33122322
5,595,5.117324663,52.33122322
6,235,5.1246963580000005,52.33122322
7,595,5.132068053999999,52.33122322
8,416,5.139439749,52.33122322
9,294,5.146811444,52.33122322
10,412,5.0288643219999996,52.33570468
11,473,5.036236017,52.33570468
12,411,5.043607712,52.33570468
13,290,5.050979407,52.33570468
14,351,5.058351102,52.33570468
15,293,5.065722797,52.33570468
16,2,5.073094492,52.33570468
17,293,5.095209578,52.33570468
18,355,5.102581273,52.33570468
19,959,5.109952968,52.33570468
20,898,5.117324663,52.33570468
21,897,5.1246963580000005,52.33570468
22,596,5.132068053999999,52.33570468
23,416,5.139439749,52.33570468
24,292,5.0288643219999996,52.34018613
25,173,5.036236017,52.34018613
26,172,5.043607712,52.34018613
27,171,5.050979407,52.34018613
28,532,5.058351102,52.34018613
29,534,5.065722797,52.34018613
30,413,5.073094492,52.34018613
31,414,5.080466188,52.34018613
32,475,5.087837883,52.34018613
33,537,5.095209578,52.34018613
34,899,5.102581273,52.34018613
35,958,5.109952968,52.34018613
36,595,5.117324663,52.34018613
37,597,5.1246963580000005,52.34018613
38,476,5.132068053999999,52.34018613
39,352,5.014120931,52.34466759
40,1319,5.021492626000001,52.34466759
41,291,5.0288643219999996,52.34466759
42,229,5.036236017,52.34466759
43,168,5.043607712,52.34466759
44,227,5.050979407,52.34466759
45,532,5.058351102,52.34466759
46,593,5.065722797,52.34466759
47,714,5.073094492,52.34466759
48,474,5.080466188,52.34466759
49,899,5.087837883,52.34466759
50,959,5.095209578,52.34466759
51,839,5.102581273,52.34466759
52,595,5.109952968,52.34466759
53,596,5.117324663,52.34466759
54,598,5.1246963580000005,52.34466759
55,477,5.132068053999999,52.34466759
56,411,5.014120931,52.34914904
57,471,5.021492626000001,52.34914904
58,230,5.0288643219999996,52.34914904
59,166,5.036236017,52.34914904
60,227,5.043607712,52.34914904
61,173,5.050979407,52.34914904
62,592,5.058351102,52.34914904
63,593,5.065722797,52.34914904
64,593,5.073094492,52.34914904
65,472,5.080466188,52.34914904
66,715,5.087837883,52.34914904
67,837,5.095209578,52.34914904
68,416,5.102581273,52.34914904
69,416,5.109952968,52.34914904
70,598,5.117324663,52.34914904
71,599,5.1246963580000005,52.34914904
72,478,5.132068053999999,52.34914904
73,230,5.006749236,52.3536305
74,229,5.014120931,52.3536305
75,350,5.021492626000001,52.3536305
76,228,5.0288643219999996,52.3536305
77,227,5.036236017,52.3536305
78,110,5.043607712,52.3536305
79,713,5.050979407,52.3536305
80,775,5.058351102,52.3536305
81,714,5.065722797,52.3536305
82,775,5.073094492,52.3536305
83,715,5.080466188,52.3536305
84,717,5.087837883,52.3536305
85,717,5.095209578,52.3536305
86,357,5.102581273,52.3536305
87,417,5.109952968,52.3536305
88,659,5.117324663,52.3536305
89,599,5.1246963580000005,52.3536305
90,539,5.132068053999999,52.3536305
91,59,4.984634151,52.35811195
92,589,4.9920058460000005,52.35811195
93,59,4.999377541,52.35811195
94,171,5.006749236,52.35811195
95,168,5.014120931,52.35811195
96,165,5.021492626000001,52.35811195
97,165,5.0288643219999996,52.35811195
98,168,5.036236017,52.35811195
99,52,5.043607712,52.35811195
100,713,5.050979407,52.35811195
101,776,5.058351102,52.35811195
102,776,5.065722797,52.35811195
103,779,5.073094492,52.35811195
104,718,5.080466188,52.35811195
105,298,5.087837883,52.35811195
106,297,5.095209578,52.35811195
107,297,5.102581273,52.35811195
108,719,5.109952968,52.35811195
109,659,5.117324663,52.35811195
110,539,5.1246963580000005,52.35811195
111,479,5.132068053999999,52.35811195
112,119,4.977262455,52.36259341
113,59,4.984634151,52.36259341
114,119,4.9920058460000005,52.36259341
115,650,4.999377541,52.36259341
116,54,5.006749236,52.36259341
117,51,5.014120931,52.36259341
118,165,5.021492626000001,52.36259341
119,165,5.0288643219999996,52.36259341
120,109,5.036236017,52.36259341
121,52,5.043607712,52.36259341
122,653,5.050979407,52.36259341
123,716,5.058351102,52.36259341
124,238,5.065722797,52.36259341
125,299,5.073094492,52.36259341
126,299,5.080466188,52.36259341
127,298,5.087837883,52.36259341
128,297,5.095209578,52.36259341
129,419,5.102581273,52.36259341
130,659,5.109952968,52.36259341
131,599,5.117324663,52.36259341
132,539,5.1246963580000005,52.36259341
133,1615,5.132068053999999,52.36259341
134,1499,4.96989076,52.36707486
135,119,4.977262455,52.36707486
136,118,4.984634151,52.36707486
137,117,4.9920058460000005,52.36707486
138,117,4.999377541,52.36707486
139,710,5.006749236,52.36707486
140,346,5.014120931,52.36707486
141,282,5.021492626000001,52.36707486
142,107,5.0288643219999996,52.36707486
143,49,5.036236017,52.36707486
144,51,5.043607712,52.36707486
145,176,5.050979407,52.36707486
146,238,5.058351102,52.36707486
147,893,5.065722797,52.36707486
148,893,5.073094492,52.36707486
149,893,5.080466188,52.36707486
150,299,5.087837883,52.36707486
151,298,5.095209578,52.36707486
152,359,5.102581273,52.36707486
153,419,5.109952968,52.36707486
154,1436,5.117324663,52.36707486
155,1496,5.1246963580000005,52.36707486
156,1615,5.132068053999999,52.36707486
157,407,4.96989076,52.37155632
158,55,4.977262455,52.37155632
159,115,4.984634151,52.37155632
160,116,4.9920058460000005,52.37155632
161,116,4.999377541,52.37155632
162,650,5.006749236,52.37155632
163,346,5.014120931,52.37155632
164,46,5.021492626000001,52.37155632
165,48,5.0288643219999996,52.37155632
166,49,5.036236017,52.37155632
