conductance_niveau1,drainage_niveau1,gwaanvulling_gem,overlandflow,starting_heads_laag1,U_matrix,X,Y,XY,Total features
4.819468783043861,0.9107174247457981,0.38080263609531523,1.6940900392045974,0.40773156871914873,0.019572292741444047,0,0,0,4547.0
4.829951991187095,0.9063745689678193,0.38271942374214535,1.6885436658315658,0.4032200862579345,0.023578387200652168,1,0,1,28.0
4.855499723197937,0.8973630641524792,0.3869367672870457,1.674780443017006,0.3944899442505836,0.04209060670034903,2,0,2,32.0
4.916485944859505,0.8766230019993784,0.39755302928197384,1.637122995519638,0.3754076509513855,0.09385219191515962,3,0,3,29.0
5.04200856867981,0.826985394043207,0.42604390724369884,1.5311785492544174,0.32985215656018263,0.21007012293127403,4,0,4,22.0
5.177105373535156,0.7268276895933152,0.4905052935487628,1.2874431402521131,0.2330512166240215,0.33091192904928146,5,0,5,35.0
5.015357341074943,0.6012865782837868,0.5737479643580019,0.985330750899315,0.10969382202196121,0.3119290328473418,6,0,6,17.0
4.375271103742599,0.4746890111622808,0.6289406414673925,0.8526628692913056,0.035334026469707513,0.219207805519668,7,0,7,40.0
3.510641603117943,0.30101589958071706,0.663380954128027,0.8838588851823808,0.018938814038276464,0.15408458201856082,8,0,8,18.0
2.9706478431911467,0.1478234807612897,0.6858328086820245,0.9268572848167418,0.02311297598457318,0.08850578539955938,9,0,9,4.0
2.870311149547577,0.0796504504752158,0.6955213526435197,0.9179432481498719,0.015947427003860426,0.04197231470838312,10,0,10,13.0
2.9462850121870043,0.060058572333336,0.699085263356626,0.8854649057550432,-0.0029898902442455633,0.029801730948308902,11,0,11,1.0
3.0603973106641766,0.05884712749505061,0.700880117947042,0.8492547442388534,-0.028367876217603616,0.02932429742815989,12,0,12,274.0
3.171845843137741,0.0641009391827585,0.702353325969696,0.8147315268125532,-0.05869801443123834,0.029480576583309735,13,0,13,856.0
3.266122356060028,0.06834257763743379,0.703972853660047,0.7832055919666292,-0.09479705115318282,0.030111978394484627,14,0,14,1087.0
3.333521515231132,0.06350628740835162,0.7059794867168665,0.7560526394939422,-0.13791809621119477,0.031894641096641745,15,0,15,1014.0
3.3648490315418242,0.0415769217064379,0.7086046412461698,0.7368675410251617,-0.18792622139930715,0.03513088104049633,16,0,16,975.0
3.352954796245575,-0.000924864956855842,0.712150711227864,0.7330236739568714,-0.24115970487260818,0.039479743144605256,17,0,17,646.0
3.296766971408844,-0.0566639796833992,0.7170362479219139,0.7554986246452331,-0.28875778263711926,0.044817966353869004,18,0,18,451.0
3.2041954496297835,-0.10687093508315071,0.7237723433605731,0.8131006066961288,-0.3183529927501678,0.05199758454077494,19,0,19,350.0
3.089033925833702,-0.13724878423953069,0.7328281189345718,0.8971241171216966,-0.3231013172750472,0.06059950471020772,20,0,20,223.0
2.960404328763008,-0.1648526461291313,0.7445732243307233,0.9673999669475553,-0.314269261409998,0.0693366182559987,21,0,21,245.0
2.8224628569869994,-0.2334621761219502,0.7589027971205116,0.9730085891799929,-0.3188998826062679,0.07666657924603316,22,0,22,359.0
2.7024350985221863,-0.3544927904617783,0.7736317969329953,0.9096921618356704,-0.3533094459407331,0.07563190638613804,23,0,23,190.0
2.6514753101882937,-0.4810397489216327,0.7850402387428582,0.8311590008096696,-0.40487785793614384,0.06296711342953801,24,0,24,198.0
2.7001557469673156,-0.5662267786467075,0.7914883154672087,0.7866074921331405,-0.4512099072148801,0.049541387706173036,25,0,25,727.0
2.8523703010988233,-0.5925369566228391,0.7937046733810603,0.792838602959633,-0.4784582277879714,0.049560502813671706,26,0,26,1148.0
3.0982734401721954,-0.5533595264217852,0.7931165709973872,0.8484361717376707,-0.47933813193964947,0.060087717224726556,27,0,27,826.0
3.4022141159591675,-0.4484034882390495,0.7917053563076257,0.9349807609691618,-0.45236253859138476,0.0658624680560019,28,0,28,577.0
3.6966755836925507,-0.2975706982691291,0.7921781998653412,1.013548158867836,-0.407076900612116,0.0622171820946235,29,0,29,762.0
3.919247026988983,-0.14125635763406752,0.7967637812406123,1.0457370440664289,-0.3619749946579933,0.057528806457518164,30,0,30,632.0
4.05354334528637,-0.016259289437293933,0.8058348305343092,1.022256774298668,-0.3320180621204376,0.05867514626467864,31,0,31,1189.0
4.1214761621627805,0.06273450531816493,0.8181953769888878,0.9615547990493774,-0.32119509751415243,0.06232142977607149,32,0,32,1041.0
4.15355893980217,0.10066886026740063,0.8321579954541624,0.8883968270330431,-0.32557739339518554,0.0623259958318609,33,0,33,714.0
4.180748347635269,0.11383660142087937,0.8456482837640643,0.819577600517273,-0.3379046639573573,0.0500467379856596,34,0,34,151.0
4.277281599497795,0.13574066279196728,0.8527935608699322,0.7623740111665724,-0.3450874378154276,0.07726681378278744,35,0,35,
4.697663673069,0.25437685482740413,0.8315938946300149,0.7221581355476379,-0.31231280242347714,0.21540875657020633,36,0,36,
5.5542023801784515,0.5074612826230527,0.7672065666128993,0.7078284481124877,-0.22370659789013847,0.2574287010712952,37,0,37,
6.080945147931099,0.6570446712584495,0.7237502670598328,0.7044296603889464,-0.17435875966739656,0.13178650062801917,38,0,38,
6.223051863322258,0.6874288464975358,0.7123861062020361,0.6986405164642333,-0.1711046932532787,0.042082171262033494,39,0,39,
6.267377110523224,0.6829910994789599,0.7106667217560112,0.6937602058868411,-0.17852717998790735,0.020914860656100112,40,0,40,882.0
6.333618503825187,0.6620359505138396,0.7101605070460141,0.6954627121915817,-0.18314344711971287,0.029031451802127982,41,0,41,62.0
