,Annual_maxima_of_daily_discharge,Annual_maxima_of_daily_precipitation,Annual_maxima_of_daily_precipitation_and_snowmelt,Annual_maxima_of_daily_snowmelt,Annual_maxima_of_daily_total_runoff_coefficient,Annual_mean_of_daily_discharge,Annual_mean_of_daily_near_surface_air_temperature,Annual_mean_of_daily_precipitation,Annual_mean_of_daily_total_runoff_coefficient,Area,Average_elevation,Average_water_capacity,Build_up_areas,Circularity,Clay,Confidence,Eolian_deposits,Forests,Glaciers,Gravel,Irrigated_agriculture,Lakes,Marshes,Peat,River_network_density,River_slopeness,Sand,Silt,Slopeness_(average),Soil_sealing,Soil_texture_(dimensionless_index_from_1_to_13),Steepness_(equation),Time_of_concentration,Total_area,Unconsolidated_deposits,U_matrix,X,Y,XY,Total stations
0,438.54537479138185,26.433831628982546,30.981788441934587,20.548445773391723,0.7044902707231044,267.4478374042969,275.424394095953,1.7811246541976928,0.39550390861970186,27942.940683601562,129.1442512503662,69.3276866973114,0.9867201129493712,0.2473882379218936,7.601799243364335,40.49191080215454,0.04840754516601553,56.8194462546463,1.368320465044981e-06,9.696746402688026,0.002305002578735449,22.659374657575608,3.8519586922664644,1.2841326237478257,0.28533278532913325,3.4266035072479255,63.20203040613175,29.080652324712275,2.6531317021179195,0.28977865686416626,2.5024487342035773,7.743496816467285,365.75280374993895,26038.041319511718,16.372597332876204,0.4149198662916334,0,0,0,273.0
1,402.5712748470459,26.427350678039552,30.858926098651885,20.375229425537107,0.7039762821131945,244.08165220336915,275.6473114096146,1.7825854426383971,0.39444348565989734,25573.92463486328,129.2044550145264,65.5121379886017,1.1215406488423347,0.24727401840081065,7.75269120944786,40.70855438697815,0.04424511241435991,56.986450932125095,1.368320465044981e-06,9.84632368055439,0.002116591835022108,21.929259539100645,3.6000235269389154,1.1793548108062744,0.2824621262960434,3.3041432492981,62.97949643816376,29.165660629689693,2.6937858897399902,0.3038449499588012,2.6006655972213744,7.685169321647642,354.00285438059996,23851.664381835937,15.798361516691207,0.8052456411382947,1,0,1,
2,207.34859349865724,26.452852210220335,30.265854536476137,20.007571401786805,0.7125015466552973,111.25592555297851,276.95415626131535,1.766048215007782,0.39006359181773664,12403.75774103125,113.5353105073242,40.324981548034664,1.7635735126624108,0.24110047361003606,8.859266737203598,44.783822346954345,0.01886799493503566,57.807600712539674,1.368320465044981e-06,13.654939414100648,0.0010211805343627312,17.04381337425232,2.051180531238079,0.5712001114664077,0.27621457167838515,2.8494374119262744,61.29853402438736,29.81203542033434,2.992169633331299,0.46494863354587557,3.537150936287999,6.557759329406743,312.90079731555176,11804.839475625,11.49684585291481,1.10520535069544,2,0,2,1.0
3,107.80779795007325,26.416298178131104,30.02926467965126,20.17255465172577,0.7257516618698835,36.53297995776367,277.6390318945961,1.738156875038147,0.391870305593431,5221.1301757070305,101.43769856469726,30.887171951461795,1.9763620361390113,0.23159708427580444,9.333295662086487,50.59193623657226,0.002062744462967059,59.973900968349454,1.368320465044981e-06,18.22759907709694,0.00035078881835937104,13.058039247756957,0.9506002018985749,0.27098258029556277,0.27549006588563324,2.666259947547914,60.79241772660446,29.87001385475397,3.234927989501953,0.57467473103714,4.187723642787337,5.618540670272829,259.2042862957459,5353.455175195312,7.020275376749039,0.6332573748187807,3,0,3,69.0
4,105.80879526867676,26.58395835946655,30.10073523018837,19.98562316758728,0.7177827632391452,33.94938833056641,277.6071173481779,1.7399077902793885,0.39298479882591963,4932.994968203125,107.0684228404541,35.10269109391785,1.7872494067778586,0.22938120750123264,9.03302033959198,52.68496436950684,0.0005075498085023167,62.415882489643096,1.368320465044981e-06,18.601613027334214,0.0002894457855224797,12.065798447965621,0.7924451705942153,0.30285648075103766,0.2757015745751858,2.6126595414504976,61.596065481916426,29.35278734819889,3.336408826446533,0.5419742470445633,4.154748007398129,5.904964125167851,222.3428891690216,5134.767994511719,4.885746995146752,0.3011347328688986,4,0,4,240.0
5,89.88234746411135,27.29500864012146,30.542199887037278,19.457741026107787,0.6937751482063532,28.607937583740238,277.5829971134262,1.7881645810127258,0.39087747047448157,3949.1484891132814,126.3297252758789,35.83660403979492,1.5025638814077378,0.2350816603650227,8.628821443250656,53.5910741595459,0.0010701643452644127,65.47215649774552,1.368320465044981e-06,16.479329988046647,0.0002675375595091456,11.234684568004608,0.8963405388627053,0.2670407583265304,0.27679147209189836,2.6261237582931543,62.652612773170475,28.689598629307746,3.649552907867431,0.4655429537391662,4.010362945752025,7.739881763153079,199.28961433189392,4153.62240234375,2.878449624349594,0.4449915380875801,5,0,5,74.0
6,71.07065920886231,28.639117474502562,31.85506923130989,19.293279875061035,0.6729654903554917,21.855832770996102,277.5758937569561,1.8992236696243285,0.3899338635142445,2558.224371367188,167.6055374725342,31.909392560836793,1.2925448294939996,0.24880990738992392,8.201239096984864,55.288623123703005,0.01342023954248428,68.90555685504532,1.368320465044981e-06,12.35976373422718,0.0012139729232789609,10.5552966681118,1.211804182076931,0.14737224632549295,0.28247806188224256,2.91810491782379,63.82983808340454,27.93291717877388,4.209461722869873,0.4058127015333175,3.5758915832676887,11.115646356063849,182.87184062431336,2695.1979992578126,1.1040114869871136,0.6621098622388529,6,0,6,104.0
7,59.57838087103272,29.401372775497435,32.70011915322304,18.88341216394806,0.652172652361393,19.621645293212893,277.9049569560909,1.9489920209884644,0.3795164588136077,2117.0725581484367,190.19532764685061,19.035944370422364,1.4415309986639022,0.25376623972015827,8.0249074253273,56.93500751579285,0.08288255137395861,70.80574228678512,1.368320465044981e-06,7.5245453078022,0.006235338325500495,11.023657656208037,1.3233486737623215,0.06562892532062525,0.2988421382880956,3.2631735609054573,64.61044290190506,27.33404059627056,4.067214238586427,0.4190422261247635,2.283047325142622,10.351549221900939,170.0451951403656,2181.7937396484376,0.4364043492650982,0.7550665210133428,7,0,7,21.0
8,43.800964081481936,28.544143085754392,32.230803316211706,19.090846069969178,0.6584691766625643,16.682565364746097,278.1928956816168,1.9437885968208313,0.3678633062764406,1925.8584402578135,184.0590032406006,5.9557608084411555,1.470104534599781,0.24385348473187535,7.839270938531875,56.183566820220946,0.17552641176080708,72.52647759949113,1.368320465044981e-06,4.425223853377343,0.009368214645385953,10.989716828573227,1.5441387402591706,0.023399966005325235,0.3223669266904742,3.373708369651794,65.42488514960479,26.714841488027574,3.26163717224121,0.3901415293607713,0.7589810751127004,6.384167250068671,148.74025261497496,1939.307851171875,0.1705499758358,0.6310683580314982,8,0,8,71.0
9,31.35985494805908,27.74557242791748,32.51945500219345,21.06574537194061,0.702963814111948,11.913459474609368,277.6645466791649,1.9558926869392395,0.37964517834335565,1350.5848761015623,179.94730912536625,6.976127502090449,1.1012945291152,0.22724323846642674,7.534009971057891,53.7208644140625,0.18046186773777007,73.94337638549041,1.368320465044981e-06,4.74144566371727,0.0047981586990357705,9.072552547458649,2.165128436018944,0.004148944509506203,0.3402085055783689,3.1637307022247327,66.01259899800873,26.425072344672678,2.766111545104982,0.2864508928937912,0.563584512377262,5.082678536697387,129.41054396890257,1325.7600687890636,0.031696796316146525,0.5169499298194883,9,0,9,87.0
