Kd_20151001T104036,Kd_20161005T104022,Kd_20171003T105021,TSM_20151001T104036,TSM_20161005T104022,TSM_20171003T105021,x,xy_ID,y,U_matrix,X,Y,XY,Hits,Total features
1.4719698724945187,1.4424092694597244,1.0426880017554163,98.22678418970489,91.3351098921051,61.05868302711487,5.06435654199931,265.99177931972406,52.52252236386478,0.3858096911328787,0,0,0,1,1.0
1.460746519429177,1.436314141755581,1.094417118323505,96.08988503793812,85.45056999401857,66.96589586643982,5.082591455027639,266.7644443942852,52.48611080181736,0.4205302017383448,1,0,1,1,1.0
1.4537030626601875,1.427350284497738,1.138636202594638,93.02539667743682,78.29453329724885,70.6918640176239,5.098860576099023,267.4558034953995,52.454017997771146,0.38345624936830286,2,0,2,3,3.0
1.470840763251245,1.4293067895712852,1.1445745180283189,88.14077478698253,69.71252305362701,67.70380601992798,5.1083706509195865,267.9735350839071,52.45763539401341,0.4464556083843169,3,0,3,1,1.0
1.486863369640559,1.4176708905658721,1.123093016082883,80.07670960280132,57.71863448616791,53.06831587269592,5.115627984279365,268.47687691199303,52.48167990848833,0.4032761061992029,4,0,4,0,
1.4840815635768474,1.4102677690029144,1.1114156417662502,76.52060253767968,54.278214609863284,46.1143281522522,5.117095136898011,268.59455274976824,52.489653727818904,0.18827764717445827,5,0,5,6,6.0
1.4758915686026812,1.413447089747429,1.111512037265718,74.08931532767392,54.72372122924042,45.29951834489441,5.116660955529272,268.5819298171997,52.491645505781236,0.1569739012520872,6,0,6,2,2.0
1.4594217386445403,1.4116511665034295,1.10498418106395,70.46057401962757,54.96765166613007,45.58472676652527,5.11268780855304,268.39176938836385,52.495266943710924,0.22403290930163647,7,0,7,0,
1.4358673051929176,1.377471373954296,1.048270124063015,66.21461357022761,51.87572062180328,43.59199951408386,5.095862399941072,267.5858343712673,52.51050290141118,0.2899840729361482,8,0,8,0,
1.4256864556013942,1.34604381432724,0.9764149203163981,64.2985879854231,49.376537720199586,39.30124538684082,5.078334528611645,266.75126015900514,52.52738563175535,0.2476880431568837,9,0,9,4,4.0
1.4253146976408064,1.355814769824028,0.934879040039599,63.79519595909405,51.35039161947632,34.068103993545535,5.0696137997462,266.34868492451096,52.53830360539454,0.23942125963251965,10,0,10,3,3.0
1.4183341288786828,1.4046902932834626,0.9238734953320622,61.78463995360755,57.67454189852905,29.98642496510315,5.06605099995324,266.2057185725193,52.54700914213645,0.2654425719361032,11,0,11,2,2.0
1.4051802936825752,1.4522865480809213,0.9192218247053027,58.80072182507992,63.914500470550536,27.942053664352418,5.066168996782765,266.23686449456693,52.55192220017642,0.20243983751858452,12,0,12,2,2.0
1.3919752496808768,1.4701514262285234,0.8936164762704373,56.66008161781693,66.52528906414796,25.912076059646605,5.069570945176274,266.42324888698005,52.553401457775415,0.24558035824061986,13,0,13,2,2.0
1.335769363064438,1.4510948513731956,0.7247439045289159,53.37693406511402,66.76252456897735,20.180353028350833,5.091340362240434,267.6391836426182,52.56727132512468,0.66519941590368,14,0,14,0,
1.1780767874478997,1.373324173660755,0.20460436939424276,46.72558496269131,65.27486368321229,5.551859816696172,5.1549329043086916,271.2286506981773,52.61505748549742,0.8121008499914457,15,0,15,0,
1.1229692847913801,1.3445580833129882,0.02301817171680931,42.68897232839394,62.50344370214844,0.6181206286315941,5.178406289519012,272.5483180219622,52.63164998828685,0.3468329110267312,16,0,16,5,5.0
1.1126337307029663,1.334000576072216,0.0027886357095836534,38.16116735977173,57.1591026028595,0.0752250653076203,5.183580421141222,272.8263159467058,52.632780972820164,0.24213251337295064,17,0,17,2,2.0
1.1037650842947067,1.316658536403179,0.000444579295694858,33.834210308102605,51.441489677474976,0.01205273266601381,5.178429184426233,272.55028895989227,52.631836249881985,0.27228150693137737,18,0,18,4,4.0
1.0911436409967243,1.2884585718097687,5.429507833720759e-05,32.263517154911995,49.2292022328949,0.0014906918182404638,5.142505900898367,270.65880725566007,52.631708807737944,0.3891287427854186,19,0,19,1,1.0
1.092690865645647,1.2741925219688415,3.158441424400138e-06,33.60453425761986,52.04877874281311,9.130470275664493e-05,5.084387237622246,267.6143587545147,52.63456722667706,0.4271675431703931,20,0,20,2,2.0
1.109994051534772,1.3075269160165788,2.1955424545083702e-07,35.919642439035414,59.21569176780701,-8.651519777913563e-06,5.056473884147942,266.1581417892809,52.637114693664195,0.39700459873794364,21,0,21,1,1.0
1.147185300075233,1.357296910188675,2.1955424545083702e-07,40.76974208943272,68.99731638167572,-8.651519777913563e-06,5.045024669390633,265.5563359844084,52.63727042762023,0.4925509983074565,22,0,22,1,1.0
1.232163168552935,1.3895217935085298,2.1955424545083702e-07,50.57467719024086,79.16468653716278,-8.651519777913563e-06,5.03453398808232,264.99245000476077,52.634937170066834,0.48223469076892234,23,0,23,0,
1.293001745115161,1.397307518734932,2.1955424545083702e-07,58.464893324892046,85.8663605114441,-8.651519777913563e-06,5.03426018847391,264.9733593341303,52.63393646545809,0.4360177712521902,24,0,24,2,2.0
1.3244581464695035,1.3971762605438232,2.1955424545083702e-07,66.8693120359459,94.30881078534698,-8.651519777913563e-06,5.060584987616405,266.3810427501402,52.63802020363498,0.5004245709924438,25,0,25,0,
1.3463476648593544,1.3959845638360977,2.1955424545083702e-07,76.33867996029568,103.56395533839417,-8.651519777913563e-06,5.080809879016488,267.4516957801018,52.63900663334769,0.5284684098642317,26,0,26,1,1.0
