ac_14d,ac_180d,ac_1d,ac_30d,ac_3d,ac_7d,ac_90d,forest_area,ghg,glg,gvg,gwaanvulling_gem,kd_waarde_laag1,maaiveld_m,overlandflow,paved_area,starting_heads_laag1,water_area,U_matrix,X,Y,XY,hits
0.8292231645271778,-0.6790624922326505,0.9884540479904413,0.6637900335498154,0.9612960315331333,0.9114673334417344,0.08887787653905153,0.024473996178060772,-0.6369717260303498,-1.0491223883302212,-0.844410339869976,0.5126872105306759,15.664019010929108,-1.5946101235809333,-0.33596870741844187,0.006419516936063768,-0.7736449615955352,0.7940364313444496,0.6929576581611013,0,0,0,20.0
0.7785226870612502,-0.58329120628196,0.9827673713205755,0.6258606675557792,0.9420918190817088,0.8735297455255985,0.09384230809110403,0.03362174833714962,-0.5572547656042577,-0.8837616233663559,-0.7318430355210304,0.515444694897011,16.184664211395265,-1.3138215395679476,-0.12124630460739105,0.013339167370796205,-0.6616795842647554,0.6953433170923218,0.9857371698271364,1,0,1,4.0
0.7200494559648037,-0.4793729830548167,0.9781745470716059,0.578900148319453,0.9241351413067617,0.8341341697697937,0.09241740539836883,0.039806144163012494,-0.6878417778921129,-0.9380239133470059,-0.8383178216805458,0.5425496461328492,16.21648803623581,-1.028124398733139,-0.08359959249496463,0.016887856232762337,-0.7491147208213806,0.5329231298852711,1.0167041694464476,2,0,2,11.0
0.7117742465211749,-0.45605731752628087,0.9803694834803045,0.5666568055905402,0.9282387327780984,0.8354181900507808,0.07720488272452354,0.038056383673846714,-1.1874084876053332,-1.4249323774306775,-1.3415385901498795,0.5952500886461883,14.80028915335846,-1.1127546887645723,-0.5819153879642487,0.012724392520427702,-1.2431886916160584,0.4091246554192528,0.7356899251786522,3,0,3,4.0
0.723320807704091,-0.46682959617131947,0.9829434381553531,0.57214925557971,0.9356635014608056,0.8471052302351594,0.0667087568295598,0.033371628205478204,-1.581517750645876,-1.8125487110881804,-1.7382818501548765,0.64814762664292,13.632538886482239,-1.2539621674709323,-0.9971538871288299,0.0062694585543870834,-1.6360636291503905,0.34513179935261606,0.461485795107278,4,0,4,13.0
0.7335242362384796,-0.48266329311510925,0.9838319701831043,0.5804742278851569,0.9388080493614637,0.8536998448937535,0.06463543519842625,0.030395036573708054,-1.780394234763384,-2.0122680436582567,-1.940110807280064,0.6838414210958407,13.501174716953276,-1.3794799263210296,-1.2223756383061408,0.0023241146969795318,-1.8356320796012877,0.3084433224703372,0.3210655812105646,5,0,5,10.0
0.7414973220981955,-0.4953209882237911,0.9842453383922577,0.588270334083587,0.9406790937488303,0.8581756350954771,0.0644953318746686,0.029082311044633394,-1.9008546921207907,-2.1501179741487504,-2.0665863669595717,0.701110492653884,13.866800605361938,-1.5025102905597683,-1.3904466024637223,0.0014100309345722178,-1.970471337080002,0.27236103137739,0.26891758024633383,6,0,6,10.0
0.7423910330848098,-0.5026865069772601,0.9837678991237283,0.5911527261957527,0.9397313342560529,0.8575766802886724,0.06112517236673831,0.027935161801427605,-1.9846271837027074,-2.2511819888291362,-2.1538689041309356,0.6997056316143647,13.64522509764862,-1.6012775186042782,-1.503290550267696,0.001840009796738623,-2.0601471614837643,0.2392339696451649,0.24979352641193342,7,0,7,13.0
0.7364063857391476,-0.5061783957110048,0.9825264229921996,0.5882553526222706,0.9362835074397438,0.8525792056888938,0.05488465898585321,0.029384021829813714,-2.079363518759012,-2.354095157904148,-2.2494490263967513,0.6787454655054956,13.225296037052155,-1.7231156996269226,-1.615002433025837,0.0019329126979112654,-2.1482425417900086,0.2106730362444371,0.24694776375554217,8,0,8,11.0
0.7280009860082268,-0.5065796791525781,0.9815897324693204,0.5805249185830355,0.9334017909608893,0.8472235369061828,0.05058587389200925,0.03342240853458643,-2.156740434980869,-2.429249695158959,-2.3230084249653813,0.64389253768567,13.653935264583588,-1.8214119417095187,-1.6552240381836896,0.0034092609752416625,-2.191823230266571,0.19203856696538626,0.2756042718341583,9,0,9,15.0
0.716837468259275,-0.4977490341311097,0.981147313310355,0.5652062717743218,0.9316190097034089,0.8412790632432401,0.05209670662331581,0.04689999407455325,-2.1140414465641975,-2.3779316639766694,-2.2662728701906207,0.5883382859456912,14.938553384082795,-1.7583219002799995,-1.4241717820644375,0.006500100104689599,-2.054154356718063,0.18271210306376218,0.358172851329038,10,0,10,7.0
0.7047768179655671,-0.4881184992341101,0.9805748038734495,0.5487512913860381,0.9293687378578037,0.8343644530501068,0.05526013589352369,0.0639775808185339,-2.0239388354041576,-2.2784317035176755,-2.154876156914711,0.51735538494654,15.363587871124267,-1.6612767146587375,-1.1117070311784745,0.0062819802497625366,-1.8379601864814759,0.16607930364008994,0.3658222516637536,11,0,11,10.0
0.7048541451795697,-0.4896775884694159,0.9807952108113468,0.548687671481818,0.9295407814016976,0.8345744364772737,0.05328146184110641,0.049949514902383085,-2.093436511875391,-2.333914328819275,-2.215733281188488,0.4890100658941642,13.881358806224824,-1.8028079962139127,-1.19197266266346,0.003303836378693581,-1.8726333355903626,0.13404011663183568,0.3150401960602493,12,0,12,12.0
0.7172658473386169,-0.4974877581878304,0.9826003127738834,0.5597959119841457,0.9345289106142819,0.8438221109752655,0.05122432992738485,0.027622916799038652,-2.1621787195301057,-2.402436956436872,-2.2954369217381476,0.5113552106034382,12.505647502155304,-1.9109213519401553,-1.3976237468719477,0.0017818445020914148,-2.003566342592239,0.10629292923402041,0.32488892815804904,13,0,13,11.0
