C (d),GHG (cmNAP),GLG (cmNAP),GVG (cmNAP),T (m2/d),Wortelzone (m),kD (m/d),U_matrix,X,Y,XY,Total features
196.91920056518552,0.7689090571899414,1.3063837147665023,0.9264002839725017,437.0596083726692,29.310622047252657,1570.9208408239747,1.5981012772283272,0,0,0,2.0
302.1945695239258,0.9543082586078644,1.6382494147014617,1.1410939691836834,354.675666395752,42.493263409805294,1002.7781057748413,3.437041166670797,1,0,1,1.0
238.2494882958984,1.1818632112941743,1.9967402336025237,1.394836615582466,201.03760559459306,78.65767632799148,345.4528527246094,2.853115096854997,2,0,2,
178.89761312133788,1.2927399654254914,2.122397849698067,1.5086711063997746,146.78458358781435,93.15738879898072,192.94953287109374,1.0461127615130712,3,0,3,4.0
193.58530683349608,1.6359179877843857,2.4721017877483367,1.8531529192502498,131.7175523964653,89.98409281822205,162.11609385498045,0.6430779529384413,4,0,4,1.0
236.2106016796875,1.6516990458517076,2.5336517131376266,1.8780872896943093,112.68594829410935,72.69593459857941,136.0752523828125,0.6667773944720619,5,0,5,1.0
271.88255071289063,1.1799611562185288,2.043931873688698,1.4027554143753052,98.69068332080079,57.06142354747772,124.09475366363526,0.4806112357496186,6,0,6,1.0
337.2754127734375,1.2167036375684739,2.010583485889435,1.4254815229890347,87.86864641145706,47.59210102268219,103.29631332550053,0.3864903768009427,7,0,7,
363.02420915771484,1.9936772561035156,2.7238311343240738,2.189708900626898,76.88448793001557,39.44119275022507,80.32448572906492,0.39277010749110397,8,0,8,1.0
242.0502699291992,2.6989444569444654,3.413811818256378,2.8919185809693335,68.4746740112381,34.21038466495514,68.75099955047608,0.3650453187135092,9,0,9,2.0
138.90659405029294,2.5087565936756135,3.2509709063625336,2.7071981821303366,56.742127413726806,37.88880809741974,56.75457858032229,0.3999720407280765,10,0,10,1.0
184.85721587768558,1.8905639920768738,2.723691936211586,2.1071874219100475,44.94105259313202,47.63344878593445,44.991020530700666,0.3573157875383943,11,0,11,2.0
343.26214357299807,1.39343243208313,2.344352720012665,1.6336172331786156,38.21482182988739,52.151521510124205,38.41911144012448,0.28157533908939947,12,0,12,2.0
585.7554384777832,1.0802320681056976,2.085124075126648,1.3312119506812097,33.30410371076584,47.85124878726959,33.652387554016116,0.2426582099279619,13,0,13,1.0
792.4054493395996,1.0734672451372147,2.042863528175354,1.3173470201127528,28.278482665870666,42.58820524835586,28.499549081726116,0.22564367818717285,14,0,14,2.0
807.7028101281738,1.1918145940647125,2.1253801692581176,1.4285301901974679,21.935950875839232,42.413254171104434,21.98336786956787,0.2001182166382423,15,0,15,1.0
735.6350216455078,1.2741887529344558,2.273518280520439,1.5240515797212124,17.065763149742125,41.71948084157944,17.069363161926276,0.15413227016192277,16,0,16,2.0
639.297629029541,1.1316051994438172,2.2553390070295336,1.4063526307008267,15.219404365795135,37.72923733465195,15.219396626586956,0.13533052900649975,17,0,17,1.0
615.1608095288086,0.8559624832773209,2.016325408029556,1.1380347529537678,15.382728557571411,32.542647653522494,15.382599699096716,0.15167341598370007,18,0,18,1.0
774.6522867443848,0.4692030505580902,1.5233065733146667,0.730023216395378,16.29541140059662,27.468249992427825,16.29514370819095,0.14046238295059416,19,0,19,
890.5232982653808,0.30724958925628654,1.3070414258480072,0.5572056301290991,15.670724322685242,26.483330470066072,15.671190498046826,0.10052474550644468,20,0,20,4.0
902.7152120019531,0.33409714958190917,1.35492905649662,0.5882654657139779,13.716214162036895,27.619946244869233,13.715739049987747,0.10188776462705176,21,0,21,1.0
820.5358023596191,0.37108312221241,1.4516578248643874,0.6371988600306511,10.757643161388398,26.782166820144653,10.75718579040523,0.09236698209074193,22,0,22,
738.1764909570312,0.3617492897911072,1.5016821465396881,0.6397376578674316,9.145352144340515,24.430216503429413,9.145057879028343,0.0584472278932879,23,0,23,3.0
720.9830227270508,0.3477538344478607,1.5034778021907806,0.6289002964644432,8.506634503513336,23.4077152879715,8.50617755859372,0.04293916645979225,24,0,24,2.0
711.9650900463868,0.368866998673439,1.4890429579257964,0.642902364312172,7.277578290679932,23.729464092845916,7.276183670654291,0.05392035251382377,25,0,25,2.0
698.3453845617676,0.4593222449703217,1.586328518743515,0.7347245636360645,5.714257102996826,24.576724533348084,5.693909979858404,0.060462820227442926,26,0,26,1.0
689.401697052002,0.6038149112548828,1.716541393070221,0.8763592424001694,4.256449968158722,24.573037471656797,4.0947188973999005,0.07479773926912955,27,0,27,2.0
730.5063936865234,0.8207691710891724,1.65896905374527,1.0384097940733432,2.3222788490905764,23.079540461292265,1.6984201254272762,0.08635461776466997,28,0,28,
