afwijking_GHG,afwijking_GLG,afwijking_DYN,Bodemtype (categorie),GVG (cmNAP),Start stijghoogte (cmNAP),GHG (cmNAP),GLG (cmNAP),C (d),Landgebruik (categorie),kD (m/d),T (m2/d),AHN (mNAP),Wortelzone (m),Buis,X,Y
0.93,0.63,0.3,118.0,0.6455219984054565,4.885591506958008,0.4492569863796234,1.1805800199508667,4.778069972991943,1.0,72.24859619140625,1.0,619.7999877929688,35.0,5270001,109400.0,390750.0
1.03,1.24,-0.21,352.0,1.2381900548934937,27.400041580200195,1.0642999410629272,1.6837600469589231,15.797436714172365,1.0,2010.147216796875,1.0,2843.800048828125,30.0,B60A2560001,188405.0,343703.0
0.64,0.86,-0.22,159.0,-0.051425501704215996,23.663801193237305,-0.15279999375343326,0.1040709987282753,6.621380805969237,1.0,202.25010681152344,1.0,2361.2099609375,25.0,B50H0371001,137648.0,380112.0
0.22,0.16,0.06,357.0,1.141379952430725,11.537611961364744,0.9255520105361938,1.7547099590301514,9.882698059082033,2.0,1193.566650390625,1.0,1298.699951171875,35.0,B52E0254001,200910.0,397716.0
0.21,-0.41,0.62,25.0,0.28837400674819946,-0.18968044221401212,0.05213779956102371,0.9833199977874756,3.682674407958984,13.0,42.34400177001953,1.0,-8.399999618530272,25.0,B44C0308001,104938.0,402126.0
0.37,0.12,0.25,123.0,1.8309500217437744,12.805241584777832,1.6039400100708008,2.4889800548553467,10.123665809631348,18.0,1336.12255859375,1.0,1397.800048828125,45.0,B40F2039001,215686.024,437809.583
0.29,0.05,0.24,34.0,0.2868790030479431,30.38713836669922,0.14361999928951266,0.6099169850349426,4.508385181427002,17.0,563.1721801757812,1.0,3062.3798828125,25.0,B52C0594002,189775.0,375370.0
0.3,0.2,0.1,25.0,0.28988900780677795,-0.5021833777427673,0.07726869732141495,0.8903719782829285,13.021612167358398,17.0,83.76570129394531,1.0,-11.600000381469727,25.0,B44C0323002,103108.0,402391.0
0.3,0.23,0.07,125.0,1.4743100404739382,11.527547836303713,1.299690008163452,1.9228099584579468,3.538733720779419,3.0,1397.590576171875,1.0,1324.9000244140625,40.0,B46G0059001,200010.0,400660.0
-0.5,-0.15,-0.35,30.0,0.9941290020942688,-0.59901362657547,0.9030479788780212,1.1084599494934082,0.9990000128746032,18.0,1410.311767578125,1.0,100.1999969482422,25.0,2130001,127070.0,411251.0
-0.72,-0.9,0.18,49.0,1.1228300333023071,30.66933631896973,0.8901730179786682,1.8034700155258176,13.704322814941404,1.0,292.02069091796875,1.0,3201.22998046875,25.0,PEVE049002,191133.0,380095.0
-0.69,-0.22,-0.47,40.0,0.2442629933357239,-2.6957027912139893,0.0009585620136931539,0.9674829840660096,2.245080709457397,18.0,14.071599960327148,1.0,-162.89999389648438,20.0,B11B1724001,198198.0,564266.0
-0.35,0.06,-0.41,71.0,1.2538000345230105,24.80068588256836,1.0415199995040894,1.8529399633407595,17.322160720825195,11.0,390.6542053222656,1.0,2673.860107421875,100.0,B50H0126001,139190.0,378670.0
-0.48,-0.53,0.05,32.0,0.5962679982185364,-0.6369724869728088,0.4458270072937012,0.9480299949645996,0.9990000128746032,1.0,1442.1612548828125,1.0,13.0,25.0,2074001,126211.0,411436.0
-0.41,-0.15,-0.26,140.0,0.9354979991912842,11.843281745910645,0.8344709873199463,1.0895999670028689,6.65231466293335,11.0,1209.6475830078125,1.0,1284.3299560546875,100.0,RAAI002_12001,173384.0,398633.0
-5.58,-5.53,-0.05,358.0,13.958499908447266,36.76028442382813,13.878100395202635,14.029999732971193,3.978177309036255,20.0,1035.4765625,1.0,4390.39990234375,25.0,B58G0148001,205410.0,353847.0
-0.86,-1.41,0.55,86.0,1.6099300384521484,-1.742377996444702,1.357759952545166,2.368580102920532,2.4342632293701167,2.0,8.702300071716309,1.0,-51.5,35.0,B15F0226001,176750.0,547480.0
-0.86,-0.57,-0.29,34.0,0.6620619893074036,29.758258819580078,0.5214290022850037,0.9745960235595704,9.291223526000977,1.0,337.8146057128906,1.0,3028.590087890625,25.0,B52D1910001,190210.0,381293.0
-0.85,-0.57,-0.28,34.0,0.6620619893074036,29.758258819580078,0.5214290022850037,0.9745960235595704,9.291223526000977,1.0,337.8146057128906,1.0,3028.590087890625,25.0,PEVE036004,190210.0,381293.0
-1.37,-1.57,0.2,68.0,5.6155500411987305,37.02711486816406,5.466450214385986,5.961949825286865,5.910074234008789,11.0,568.7811279296875,1.0,3845.199951171875,100.0,B58G0149001,206589.0,350964.0
-0.22,0.37,-0.59,12.0,2.947269916534424,10.670891761779783,2.8360400199890137,3.1421899795532227,1.0242607593536377,1.0,1062.2449951171877,1.0,1179.56005859375,25.0,B34B0370001,233374.45,474325.63
1.07,0.85,0.22,123.0,1.575369954109192,13.08067798614502,1.3687299489974976,2.1519100666046143,9.373018264770508,1.0,986.3197021484376,1.0,1470.199951171875,45.0,B40H0158001,215541.97,436987.13
0.44,-0.17,0.61,253.0,1.089709997177124,-0.21189334988594052,0.8246970176696777,1.899739980697632,16.519538879394528,3.0,275.9285888671875,1.0,64.90000152587889,40.0,B43H0256002,92886.0,404009.0
0.85,0.76,0.09,118.0,0.4494119882583618,5.0319252014160165,0.2532980144023895,0.9838690161705016,5.129241943359375,6.0,90.66210174560548,1.0,618.5999755859375,35.0,5274001,109735.0,391226.0
,,,344.0,1.5485899448394775,10.00644302368164,1.2462600469589231,2.5078799724578857,0.9990000128746032,5.0,2654.070556640625,1.0,1187.0,65.0,B40G1226001,202584.58,433551.93
,,,230.0,1.2319400310516355,-0.6399873495101929,1.0904099941253662,1.5480500459671018,1.4349377155303955,1.0,1099.992431640625,1.0,44.70000076293945,25.0,9153_PBF001,116817.924,411345.311
,,,230.0,1.2319400310516355,-0.6399873495101929,1.0904099941253662,1.5480500459671018,1.4349377155303955,1.0,1099.992431640625,1.0,44.70000076293945,25.0,9155_PBF001,116882.825,411386.654
,,,259.0,0.8520359992980957,-0.5290796756744385,0.7384430170059204,1.0564099550247192,15.023233413696287,5.0,1292.333740234375,1.0,34.59999847412109,65.0,9147_PBF001,116309.496,413055.709
,,,259.0,0.5522480010986328,-0.5290796756744385,0.3700569868087769,1.0310100317001345,15.023233413696287,5.0,1292.333740234375,1.0,34.59999847412109,65.0,9149_PBF001,116391.04,413074.373
,,,187.0,1.822589993476868,5.82877779006958,1.669100046157837,2.186539888381958,0.9990000128746032,12.0,3818.193359375,1.0,967.7000122070312,100.0,MAWA20029001,177287.5,426448.5
,,,102.0,0.6515809893608093,9.352910995483398,0.4718100130558014,1.120669960975647,1.3591984510421753,1.0,2281.925537109375,1.0,1010.7000122070312,35.0,Lochem Weggelhorst 1 (B2)_1123_FT1_WATHTE_m_NAP_GW_DagGem001,219939.0,464107.0
0.96,0.7,0.26,145.0,1.1305700540542605,9.11093807220459,0.9623849987983704,1.5533299446105957,2.93466854095459,11.0,17.253299713134766,1.0,1048.9000244140623,100.0,5315001,100202.0,388246.0
,,,331.0,0.8884509801864624,7.364825248718263,0.6853629946708679,1.4507999420166016,0.9989999532699584,1.0,1509.5465087890625,1.0,833.2999877929688,25.0,BETU20012001,185206.3,439046.8
,,,157.0,1.2727999687194824,9.230175018310547,1.108649969100952,1.6793700456619265,0.8795433640480042,1.0,2168.54443359375,1.0,1051.8499755859377,25.0,Lochem Weggelhorst 1 (B1)_1122_FT1_WATHTE_m_NAP_GW_DagGem001,219975.0,464434.0
,,,164.0,0.8474400043487549,11.851110458374025,0.6609259843826294,1.343500018119812,17.027656555175778,11.0,2277.006103515625,6.658312797546388,1274.5999755859375,100.0,B34C1157001,223323.0,459154.0
,,,102.0,0.8474400043487549,11.801481246948242,0.6609259843826294,1.343500018119812,9.91889762878418,11.0,2304.592529296875,5.2201271057128915,1269.0999755859375,100.0,B34C0943001,223444.0,459387.0
,,,49.0,0.906708002090454,30.30826759338379,0.6910690069198608,1.519269943237305,18.748140335083008,2.0,393.69580078125,1.0,3166.89990234375,30.0,B52D217301.0,192778.0,382114.0
,,,131.0,1.4176199436187744,11.629644393920898,1.2107900381088257,1.9949599504470823,11.637652397155762,1.0,2188.893798828125,11.75629997253418,1310.699951171875,45.0,B34C1161001,222939.0,459439.0
,,,92.0,2.4315199851989746,8.318603515625,2.1848099231719966,3.16838002204895,9.606401443481444,1.0,2060.56005859375,7.660147666931152,1074.030029296875,25.0,22AC600A001,226634.0,524435.0
,,,12.0,0.8668349981307983,-1.7185089588165283,0.7248769998550415,1.1846699714660645,19.653396606445312,1.0,6617.09033203125,1.0,-84.91999816894531,25.0,16DG803A001,198097.0,534233.0
,,,79.0,0.8155509829521179,13.102580070495605,0.6160330176353455,1.363620042800903,18.012325286865234,1.0,2241.908203125,1.0,1354.199951171875,30.0,B34C1173001,222060.0,454549.0
,,,79.0,0.9081490039825441,13.611997604370115,0.6903960108757019,1.5291600227355957,16.33310890197754,1.0,2096.070068359375,6.325137138366699,1435.4000244140625,30.0,B34C0323001,223095.0,454776.0
,,,326.0,0.55976402759552,11.847649574279785,0.380264014005661,1.027760028839111,6.853675842285156,1.0,2545.867431640625,2.842552900314331,1241.199951171875,30.0,B34C1158001,223525.0,459311.0
,,,326.0,0.7928199768066406,12.421643257141113,0.6038979887962341,1.298509955406189,1.5410152673721311,1.0,1252.5694580078125,1.0,1321.0999755859375,30.0,B34C1187001,229194.0,461139.0
,,,347.0,1.2012699842453003,6.019124984741211,0.9706509709358216,1.873729944229126,0.8795199990272522,1.0,1082.27880859375,1.0,762.0599975585938,30.0,KERI346_3001,175155.0,421016.0
,,,347.0,1.2538900375366209,6.019124984741211,0.9936130046844482,2.0450000762939453,0.8795199990272522,1.0,1082.27880859375,1.0,762.0599975585938,30.0,KERI346_2001,175121.0,421045.0
,,,341.0,1.3571200370788574,10.41999053955078,1.167580008506775,1.8652800321578982,1.079395055770874,2.0,1217.843994140625,1.0,1106.75,50.0,JANS002001,195790.0,405458.0
,,,349.0,2.0035400390625,5.6954407691955575,1.7385400533676147,2.8135299682617188,0.932369828224182,18.0,1199.1287841796875,1.0,806.47998046875,30.0,B45F0175001,176759.0,420530.0
,,,49.0,0.5336850285530089,25.88005828857422,0.3564319908618927,0.99269700050354,6.079389572143555,2.0,669.3140258789062,1.0,2641.860107421875,30.0,BULT009001,186095.0,389961.0
,,,349.0,1.3571200370788574,10.066360473632812,1.167580008506775,1.8652800321578982,5.241589546203613,1.0,1020.3527221679688,1.0,1163.75,30.0,JANS001001,195715.0,405709.0
,,,34.0,1.061370015144348,30.41568756103516,0.8664399981498718,1.591099977493286,9.458497047424316,1.0,289.8756103515625,1.0,3126.1201171875,25.0,JUHO001001,190774.0,380378.0
,,,40.0,0.5046479701995851,26.61811637878418,0.1955409944057465,1.491070032119751,4.8042869567871085,20.0,909.8076171875,1.0,2713.469970703125,20.0,BULT020001,186558.0,390094.0
,,,41.0,0.75313401222229,28.50790786743164,0.5223140120506287,1.4264099597930908,15.348916053771973,13.0,802.080322265625,1.0,2951.139892578125,20.0,NPLV012_2001,188162.0,380493.0
,,,77.0,0.8670129776000977,26.27995300292969,0.6763290166854858,1.3797500133514404,3.721835374832153,2.0,967.8366088867188,1.0,2718.889892578125,35.0,BULT021001,186449.0,390264.0
,,,40.0,0.5046479701995851,26.61811637878418,0.1955409944057465,1.491070032119751,4.8042869567871085,20.0,909.8076171875,1.0,2713.469970703125,20.0,BULT018001,186516.0,390023.0
,,,40.0,0.5046479701995851,26.61811637878418,0.1955409944057465,1.491070032119751,4.8042869567871085,20.0,909.8076171875,1.0,2713.469970703125,20.0,BULT019001,186568.0,390102.0
,,,41.0,0.6317309737205505,28.06433486938477,0.44828000664711,1.115530014038086,3.7408325672149663,13.0,695.365478515625,1.0,2892.25,20.0,B52C2124001,187737.0,380140.0
,,,30.0,0.5046479701995851,26.279541015625,0.1955409944057465,1.491070032119751,4.726965427398682,1.0,933.9688110351562,1.0,2668.860107421875,25.0,BULT013001,186437.0,390054.0
,,,30.0,0.5046479701995851,26.279541015625,0.1955409944057465,1.491070032119751,4.726965427398682,1.0,933.9688110351562,1.0,2668.860107421875,25.0,BULT013_2001,186437.0,390055.0
,,,30.0,0.8670129776000977,26.279541015625,0.6763290166854858,1.3797500133514404,4.726965427398682,1.0,933.9688110351562,1.0,2668.860107421875,25.0,BULT014001,186261.0,390242.0
,,,49.0,1.1565300226211548,29.413780212402344,0.905340015888214,1.9112900495529173,6.065126895904541,2.0,347.7695007324219,1.0,3046.030029296875,30.0,NPLV032001,189143.0,378597.0
,,,49.0,0.9074990153312684,28.2585391998291,0.6628109812736511,1.6362500190734863,5.496574878692627,1.0,439.3772888183594,1.0,2913.699951171875,25.0,NPLV025001,188009.0,379111.0
,,,40.0,0.5046479701995851,26.61811637878418,0.1955409944057465,1.491070032119751,4.8042869567871085,20.0,909.8076171875,1.0,2713.469970703125,20.0,BULT012_2001,186508.0,390082.0
,,,40.0,0.3400909900665283,27.220895767211914,0.11943600326776505,0.972711980342865,5.092518329620361,20.0,924.9061279296876,1.0,2776.1201171875,20.0,BULT011001,187149.0,389798.0
,,,41.0,0.6317309737205505,28.06433486938477,0.44828000664711,1.115530014038086,3.7408325672149663,13.0,695.365478515625,1.0,2892.25,20.0,PEVE120001,187603.0,380014.0
,,,41.0,0.6317309737205505,28.06433486938477,0.44828000664711,1.115530014038086,3.7408325672149663,13.0,695.365478515625,1.0,2892.25,20.0,B52C2121002,187603.0,380014.0
-0.8,-1.06,0.26,37.0,2.677020072937012,16.545093536376953,2.5120699405670166,3.0868399143218994,11.23495388031006,13.0,1651.671142578125,1.0,1942.0699462890625,20.0,B23A0769001,266686.0,524452.0
-0.76,-0.57,-0.19,30.0,0.5828459858894348,-0.7848012447357178,0.5003669857978821,0.6627600193023682,0.9990000128746032,11.0,1135.33837890625,1.0,-24.0,100.0,2155001,128388.0,411151.0
-0.97,-1.25,0.28,125.0,4.6041598320007315,15.59068202972412,4.4229698181152335,5.07889986038208,12.27298069000244,22.0,345.8700866699219,1.0,1784.4000244140625,40.0,B52G2961001,209190.0,378078.0
-1.11,-1.14,0.03,27.0,0.8146970272064209,-0.4009604454040527,0.6637639999389648,1.168429970741272,2.874518394470215,1.0,1234.5439453125,1.0,24.899999618530273,25.0,2125001,129241.0,411323.0
-0.99,-1.41,0.42,37.0,3.0258901119232178,16.61177635192871,2.8366899490356445,3.532700061798096,11.159199714660645,13.0,1716.6292724609375,1.0,2020.2099609375,20.0,B23A0773001,266055.0,524418.0
-0.86,-0.21,-0.65,357.0,0.44667598605155945,11.67933750152588,0.2658819854259491,0.9198480248451232,2.78151798248291,2.0,56.46789932250977,1.0,1458.199951171875,35.0,B52E3240001,209038.0,390921.0
-0.43,-0.64,0.21,37.0,3.3998498916625977,16.576862335205078,3.2173800468444824,3.87975001335144,11.27279567718506,13.0,1695.507080078125,1.0,2018.469970703125,20.0,B23A0770001,266420.0,524458.0
-0.43,-0.56,0.13,346.0,2.479990005493164,12.018271446228027,2.2794299125671387,3.0322399139404297,9.981485366821287,5.0,1356.748046875,1.0,1403.5999755859375,60.0,B52E3239001,205094.0,394329.0
-0.36,-0.34,-0.02,34.0,0.6620619893074036,29.758258819580078,0.5214290022850037,0.9745960235595704,9.291223526000977,1.0,337.8146057128906,1.0,3028.590087890625,25.0,B52D1830002,190058.0,381467.0
-0.56,-0.2,-0.36,30.0,0.9941290020942688,-0.59901362657547,0.9030479788780212,1.1084599494934082,0.9990000128746032,18.0,1410.311767578125,1.0,100.1999969482422,25.0,2130_PBF001,127070.0,411251.0
-0.55,-0.27,-0.28,346.0,2.22160005569458,11.77130889892578,2.0037100315093994,2.8431398868560787,1.5709173679351809,3.0,1385.963623046875,1.0,1391.800048828125,30.0,B52E3233001,205038.0,394923.0
-0.52,-0.51,-0.01,221.0,0.8043860197067261,-1.6767048835754397,0.5409380197525024,1.6081800460815432,4.201876163482666,13.0,33.607601165771484,1.0,-86.5,30.0,8129001,83302.0,400467.0
-1.2,-0.74,-0.46,93.0,2.8627800941467285,17.912975311279297,2.6372599601745605,3.5148398876190186,11.830937385559082,4.0,1230.005126953125,14.727794647216795,2076.489990234375,40.0,B51C0298001,149917.0,385247.0
-1.21,-0.35,-0.86,27.0,0.5449569821357727,-0.4009604454040527,0.414766013622284,0.8157200217247009,2.874518394470215,1.0,1234.5439453125,1.0,24.899999618530273,25.0,2078001,129186.0,411262.0
0.72,0.46,0.26,79.0,1.1310399770736694,-0.9259515404701232,0.9888060092926024,1.4499900341033936,2.587846040725708,1.0,84.24169921875,1.0,27.25,30.0,B27A0004001,182018.279,494021.6924
0.9,0.83,0.07,253.0,0.3165130019187927,-1.5487146377563477,0.14313499629497528,0.7600290179252625,1.6827890872955322,16.0,100.61540222167969,1.0,-49.5,30.0,B26F0045001,177760.0454,492205.8695
1.23,0.91,0.32,118.0,0.6455219984054565,4.885591506958008,0.4492569863796234,1.1805800199508667,4.778069972991943,1.0,72.24859619140625,1.0,619.7999877929688,35.0,5270_PBF001,109400.0,390750.0
-1.85,-1.0,-0.85,106.0,4.61221981048584,17.982152938842773,4.41185998916626,5.163680076599121,14.13709831237793,12.0,1237.4625244140625,27.43353271484375,2334.06005859375,100.0,B51C0291001,149891.0,383974.0
-1.3,-1.64,0.34,37.0,3.3998498916625977,16.576862335205078,3.2173800468444824,3.87975001335144,11.27279567718506,13.0,1695.507080078125,1.0,2018.469970703125,20.0,B23A0772001,266281.0,524465.0
-1.29,-1.55,0.26,253.0,0.2923339903354645,8.99024772644043,-0.12240800261497498,1.7013000249862669,2.1931676864624023,17.0,2081.03173828125,1.0,1087.9000244140623,35.0,B40D2175002,197157.0,430305.0
-2.51,-0.59,-1.92,106.0,5.966469764709473,17.625043869018555,5.852399826049805,6.172760009765625,16.996517181396484,12.0,1285.3560791015625,7.619119167327881,2336.9599609375,100.0,B51C0389001,149883.0,383086.0
