Datum,Baggervak,Parameter,Value
2021-03-20,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-20,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-20,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-20,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-20,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-20,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-03-21,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-21,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
2021-03-21,bv.Baggervak 2,Volume cut tov MIN OHD (m3),302.01
2021-03-21,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1197.99
2021-03-21,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12566.14
2021-03-21,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2820.37
2021-03-21,bv.Randvak 2B,Volume cut tov MIN OHD (m3),6829.26
2021-03-21,bv.Randvak 2A,Volume cut tov MIN OHD (m3),10999.01
2021-03-21,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7433.96
2021-03-21,bv.Randvak 1C,Volume cut tov MIN OHD (m3),6858.81
2021-03-21,bv.Randvak 1A,Volume cut tov MIN OHD (m3),11262.98
2021-03-21,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7219.14
2021-03-21,bv.Baggervak 1,Volume cut tov MIN OHD (m3),13.82
2021-03-21,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-21,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-21,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-21,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-21,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-21,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-03-22,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-22,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
2021-03-22,bv.Baggervak 2,Volume cut tov MIN OHD (m3),302.01
2021-03-22,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1197.99
2021-03-22,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12566.14
2021-03-22,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2820.37
2021-03-22,bv.Randvak 2B,Volume cut tov MIN OHD (m3),6829.26
2021-03-22,bv.Randvak 2A,Volume cut tov MIN OHD (m3),10999.01
2021-03-22,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7433.96
2021-03-22,bv.Randvak 1C,Volume cut tov MIN OHD (m3),6858.81
2021-03-22,bv.Randvak 1A,Volume cut tov MIN OHD (m3),11262.98
2021-03-22,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7219.14
2021-03-22,bv.Baggervak 1,Volume cut tov MIN OHD (m3),13.82
2021-03-22,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-22,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-22,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-22,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-22,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-22,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-03-23,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-23,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
2021-03-23,bv.Baggervak 2,Volume cut tov MIN OHD (m3),302.01
2021-03-23,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1197.99
2021-03-23,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12566.14
2021-03-23,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2820.37
2021-03-23,bv.Randvak 2B,Volume cut tov MIN OHD (m3),6829.26
2021-03-23,bv.Randvak 2A,Volume cut tov MIN OHD (m3),10999.01
2021-03-23,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7433.96
2021-03-23,bv.Randvak 1C,Volume cut tov MIN OHD (m3),6858.81
2021-03-23,bv.Randvak 1A,Volume cut tov MIN OHD (m3),11262.98
2021-03-23,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7219.14
2021-03-23,bv.Baggervak 1,Volume cut tov MIN OHD (m3),13.82
2021-03-23,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-23,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-23,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-23,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-23,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-23,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-03-24,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-24,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
2021-03-24,bv.Baggervak 2,Volume cut tov MIN OHD (m3),302.01
2021-03-24,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1197.99
2021-03-24,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12566.14
2021-03-24,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2820.37
2021-03-24,bv.Randvak 2B,Volume cut tov MIN OHD (m3),6829.26
2021-03-24,bv.Randvak 2A,Volume cut tov MIN OHD (m3),10999.01
2021-03-24,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7433.96
2021-03-24,bv.Randvak 1C,Volume cut tov MIN OHD (m3),6858.81
2021-03-24,bv.Randvak 1A,Volume cut tov MIN OHD (m3),11262.98
2021-03-24,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7219.14
2021-03-24,bv.Baggervak 1,Volume cut tov MIN OHD (m3),13.82
2021-03-24,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-24,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-24,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-24,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-24,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-24,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-03-25,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-25,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
2021-03-25,bv.Baggervak 2,Volume cut tov MIN OHD (m3),302.01
2021-03-25,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1197.99
2021-03-25,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12566.14
2021-03-25,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2820.37
2021-03-25,bv.Randvak 2B,Volume cut tov MIN OHD (m3),6829.26
2021-03-25,bv.Randvak 2A,Volume cut tov MIN OHD (m3),10999.01
2021-03-25,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7433.96
2021-03-25,bv.Randvak 1C,Volume cut tov MIN OHD (m3),6858.81
2021-03-25,bv.Randvak 1A,Volume cut tov MIN OHD (m3),11262.98
2021-03-25,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7219.14
2021-03-25,bv.Baggervak 1,Volume cut tov MIN OHD (m3),13.82
2021-03-25,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-25,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-25,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-25,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-25,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-25,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-03-26,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-26,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
2021-03-26,bv.Baggervak 2,Volume cut tov MIN OHD (m3),302.01
2021-03-26,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1197.99
2021-03-26,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12566.14
2021-03-26,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2820.37
2021-03-26,bv.Randvak 2B,Volume cut tov MIN OHD (m3),6829.26
2021-03-26,bv.Randvak 2A,Volume cut tov MIN OHD (m3),10999.01
2021-03-26,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7433.96
2021-03-26,bv.Randvak 1C,Volume cut tov MIN OHD (m3),6858.81
2021-03-26,bv.Randvak 1A,Volume cut tov MIN OHD (m3),11262.98
2021-03-26,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7219.14
2021-03-26,bv.Baggervak 1,Volume cut tov MIN OHD (m3),13.82
2021-03-26,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-26,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-26,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-26,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-26,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-26,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-03-27,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-27,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
2021-03-27,bv.Baggervak 2,Volume cut tov MIN OHD (m3),302.01
2021-03-27,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1197.99
2021-03-27,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12566.14
2021-03-27,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2820.37
2021-03-27,bv.Randvak 2B,Volume cut tov MIN OHD (m3),6829.26
2021-03-27,bv.Randvak 2A,Volume cut tov MIN OHD (m3),10999.01
2021-03-27,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7433.96
2021-03-27,bv.Randvak 1C,Volume cut tov MIN OHD (m3),6858.81
2021-03-27,bv.Randvak 1A,Volume cut tov MIN OHD (m3),11262.98
2021-03-27,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7219.14
2021-03-27,bv.Baggervak 1,Volume cut tov MIN OHD (m3),13.82
2021-03-27,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-27,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-27,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-27,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-27,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-27,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-03-28,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-28,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
2021-03-28,bv.Baggervak 2,Volume cut tov MIN OHD (m3),302.01
2021-03-28,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1197.99
2021-03-28,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12566.14
2021-03-28,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2820.37
2021-03-28,bv.Randvak 2B,Volume cut tov MIN OHD (m3),6829.26
2021-03-28,bv.Randvak 2A,Volume cut tov MIN OHD (m3),10999.01
2021-03-28,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7433.96
2021-03-28,bv.Randvak 1C,Volume cut tov MIN OHD (m3),6858.81
2021-03-28,bv.Randvak 1A,Volume cut tov MIN OHD (m3),11262.98
2021-03-28,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7219.14
2021-03-28,bv.Baggervak 1,Volume cut tov MIN OHD (m3),13.82
2021-03-28,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-28,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-28,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-28,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-28,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-28,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-03-29,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-29,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
2021-03-29,bv.Baggervak 2,Volume cut tov MIN OHD (m3),302.01
2021-03-29,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1197.99
2021-03-29,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12566.14
2021-03-29,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2820.37
2021-03-29,bv.Randvak 2B,Volume cut tov MIN OHD (m3),6829.26
2021-03-29,bv.Randvak 2A,Volume cut tov MIN OHD (m3),10999.01
2021-03-29,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7433.96
2021-03-29,bv.Randvak 1C,Volume cut tov MIN OHD (m3),6858.81
2021-03-29,bv.Randvak 1A,Volume cut tov MIN OHD (m3),11262.98
2021-03-29,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7219.14
2021-03-29,bv.Baggervak 1,Volume cut tov MIN OHD (m3),13.82
2021-03-29,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-29,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-29,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-29,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-29,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-29,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-03-30,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-30,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
2021-03-30,bv.Baggervak 2,Volume cut tov MIN OHD (m3),302.01
2021-03-30,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1197.99
2021-03-30,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12566.14
2021-03-30,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2820.37
2021-03-30,bv.Randvak 2B,Volume cut tov MIN OHD (m3),6829.26
2021-03-30,bv.Randvak 2A,Volume cut tov MIN OHD (m3),10999.01
2021-03-30,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7433.96
2021-03-30,bv.Randvak 1C,Volume cut tov MIN OHD (m3),6858.81
2021-03-30,bv.Randvak 1A,Volume cut tov MIN OHD (m3),11262.98
2021-03-30,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7219.14
2021-03-30,bv.Baggervak 1,Volume cut tov MIN OHD (m3),13.82
2021-03-30,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-30,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-30,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-30,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-30,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-30,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-03-31,bv.Baggervak 10,Volume cut tov MIN OHD (m3),2299.43
2021-03-31,bv.Baggervak 5,Volume cut tov MIN OHD (m3),4630.67
2021-03-31,bv.Baggervak 2,Volume cut tov MIN OHD (m3),302.01
2021-03-31,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1197.99
2021-03-31,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12566.14
2021-03-31,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2820.37
2021-03-31,bv.Randvak 2B,Volume cut tov MIN OHD (m3),6829.26
2021-03-31,bv.Randvak 2A,Volume cut tov MIN OHD (m3),10999.01
2021-03-31,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7433.96
2021-03-31,bv.Randvak 1C,Volume cut tov MIN OHD (m3),6858.81
2021-03-31,bv.Randvak 1A,Volume cut tov MIN OHD (m3),11262.98
2021-03-31,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7219.14
2021-03-31,bv.Baggervak 1,Volume cut tov MIN OHD (m3),13.82
2021-03-31,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1168.45
2021-03-31,bv.Baggervak 4,Volume cut tov MIN OHD (m3),5838.9
2021-03-31,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1983
2021-03-31,bv.Baggervak 7,Volume cut tov MIN OHD (m3),250.51
2021-03-31,bv.Baggervak 8,Volume cut tov MIN OHD (m3),376.96
2021-03-31,bv.Baggervak 9,Volume cut tov MIN OHD (m3),310.25
2021-04-01,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-01,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-01,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-01,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-01,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-01,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-01,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-01,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-01,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-01,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-01,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-01,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-01,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-01,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-01,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-01,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-01,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-01,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-01,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-02,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-02,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-02,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-02,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-02,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-02,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-02,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-02,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-02,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-02,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-02,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-02,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-02,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-02,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-02,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-02,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-02,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-02,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-02,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-03,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-03,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-03,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-03,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-03,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-03,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-03,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-03,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-03,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-03,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-03,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-03,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-03,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-03,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-03,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-03,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-03,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-03,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-03,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-04,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-04,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-04,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-04,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-04,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-04,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-04,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-04,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-04,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-04,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
