xy_buis (ID),som_key,GHG_ERROR,lon,lat
B21F0776001,1828,-0.17,213888.0,520999.0
17AL850301001,258,-0.15,220160.0,547823.0
B57B0434001,1460,-0.15,152825.0,368375.0
B12D2024001,271,-0.14,234510.0,552483.0
B21F0735001,2183,-0.14,219688.0,518884.0
B52D0110001,1976,-0.14,193605.0,385430.0
B22G0309002,2039,-0.13,241948.0,507075.0
RIJS003001,55,-0.13,145737.0,410063.0
B12D2025001,691,-0.34,234720.0,552958.0
B51A1819002,1838,-0.7,140669.0,396495.0
5013_PBF1001,1374,-0.67,111725.0,405232.0
5225_PBF001,1379,-0.66,111090.0,405052.0
PB24001,40,-0.58,70292.0,444408.8
PB03H001,54,-0.57,87774.7,443312.8
5251001,374,-0.57,115346.0,396574.0
B17D0162001,323,-0.56,230540.0,525030.0
GROO031001,81,-0.56,182129.0,373622.0
8126_PBF2002,1062,-0.7,79831.0,379888.0
B57E0213001,1552,-1.04,161469.0,372037.0
B45D1199001,2194,-1.0,151101.0,402437.0
5308_PBF001,2191,-0.94,100258.0,390727.0
B39A2390001,2014,-0.94,142760.0,441814.0
B27G0939001,1898,-0.89,203329.0,486530.0
B46B0489001,2020,-0.88,195071.0,419211.0
GOOR002001,31,-0.85,173584.0,386425.0
2115_PBF001,1272,-0.82,125539.0,411298.0
B58A0698001,937,-0.75,186076.0,374070.0
B57F0135001,2159,-0.54,173203.0,365198.0
9069_PBF001,2081,-0.34,111336.044,405669.734
B52D2107002,391,-0.41,191360.0,382978.0
B12D2032001,813,-0.4,232866.0,552071.0
B12D2026001,688,-0.39,234892.0,553367.0
B22A1100001,1645,-0.38,221085.0,517142.0
B50D0075002,1173,-0.38,115834.0,381613.0
9079_PBF001,2435,-0.35,127220.214,411669.725
B50B0552001,1679,-0.49,114943.0,396430.0
B49F0232001,132,-0.54,96800.0,396026.0
BBEE003001,939,-0.5,176254.0,389794.0
B37G0828001,889,-0.46,86074.0,427639.0
B58A0810001,81,-0.45,182129.0,373622.0
DYNA020001,2063,-0.43,156433.0,408308.0
PEVE031002,741,-0.66,190523.0,381366.0
B23A0767001,1044,-0.12,264159.0,520493.0
B36H0141001,2362,-0.11,51869.1,425837.3
B38H2386001,577,-0.09,137233.0,435728.0
MIDDENLOOP-PBC001,747,-0.08,213438.0,543848.0
DM-06-ZW001,112,-0.12,185240.0,575500.0
B52E3237001,2353,-0.13,203373.0,395938.0
B50E0566001,76,-0.17,122753.0,395274.0
B11B0277001,2363,-0.13,198300.0,562950.0
PB18001,532,-0.04,73805.2,442402.3
B49F0434001,1663,-0.03,92017.0,396423.0
B45A0144001,148,-0.02,149010.0,422270.0
B46A1601001,1448,-0.02,182180.0,419771.0
NPD-PB7ONDIEP001,762,-0.04,222036.0,531787.0
B38H2389002,2728,-0.07,136564.0,432815.0
B45B0312001,2066,-0.07,156475.0,420709.0
B39F2953001,2127,-0.05,179448.18,441079.56
B46A1559001,2473,-0.05,180523.0,418745.0
B58A0809001,34,-0.05,181830.0,372522.0
5367_PBF2002,1618,-0.04,115091.0,396680.0
B37D0408002,819,-0.46,73369.0,432297.0
OV004.203001,938,-0.45,230670.0,545919.0
B50B0505001,1356,-0.44,113302.0,395256.0
B39G2557001,1238,-0.43,167443.49,436486.61
5212001,374,-0.42,115715.0,389382.0
B38H2388001,347,-0.38,133387.0,430731.0
5233001,1679,-0.47,114952.0,396420.0
B38D0301001,169,-0.48,113764.3,435203.8
B45A2474001,1003,-0.58,140920.94,419259.02
B45D1181001,30,-0.58,152796.0,404557.0
21CC707A001,1184,-0.54,187920.0,505140.0
B12D1801001,205,-0.53,230798.0,553230.0
5171_PBF001,1962,-0.36,111203.0,397552.0
B44E0224001,1301,-0.23,128646.0,413153.0
B58A0312001,492,-0.23,184820.0,373400.0
B26E0124001,1071,-0.22,164975.0543,489883.2876
B44H0389001,2906,-0.2,133826.0,407881.0
22AP9004001,1049,-0.19,225792.0,515620.0
B22C0064001,11,-0.19,225846.47,502533.83
NPD-PB24001,2782,-0.33,225509.0,534666.0
5206001,1674,-0.27,115885.0,395250.0
B45C0949001,564,-0.24,149751.0,409510.0
17DC302B001,879,-0.24,233056.0,535385.0
B12E0417001,1770,-0.24,246360.0,567540.0
5231001,1737,0.19,115314.0,395879.0
B38H2384001,576,0.2,137536.0,436086.0
B31D1558001,164,0.2,117540.0,461832.0
B07C1800001,1474,0.21,226004.0,577370.0
B17D0188001,2903,0.21,237573.0,533937.0
B37E0377001,233,0.19,81387.7,445379.2
B15E0122001,464,0.22,165775.0,547100.0
B22B0770001,203,0.22,231208.0,518707.0
B31D1558003,164,0.22,117540.0,461832.0
B45E0406001,1837,0.22,164744.0,423411.0
B51A1795001,896,0.16,146006.0,390740.0
B26F3139001,369,0.17,176562.0,487682.0
B26F3139002,369,0.17,176562.0,487682.0
B45B0311001,2065,0.18,156623.0,419754.0
B50A0504001,1616,0.18,107840.0,399885.0
21EC210A001,459,0.27,202400.0,514618.0
B06G1308001,557,0.28,208993.0,578288.0
P38H0038001,511,0.28,136850.0,434932.0
REESTDAL-PB11001,1349,0.32,220398.0,518300.0
B50A0502001,1617,0.26,107450.0,399444.0
B38E0228001,507,0.23,125729.0,449767.0
B12C1571001,34,0.24,229374.0,552479.0
B31D1428001,289,0.24,118814.0,461353.0
B38F1979001,1134,0.26,138865.0,446219.0
P38H0036001,576,0.25,137315.0,435908.0
9055_PBF001,1841,0.26,92839.847,404079.803
B28A0503001,1706,0.05,226540.0,498076.0
B43B0058001,742,0.06,72106.5,424706.9
B11B0275001,1407,0.07,197405.0,562560.0
B06H0192001,929,0.01,210220.0,578383.0
B30H0126001,716,0.02,90290.0,451461.0
B38F2357001,213,0.15,136552.82,433001.73
B50B0581001,152,0.13,118107.0,388925.0
REFV156004,1756,0.12,179710.0,416731.0
REFV156_4001,1756,0.12,179710.0,416731.0
B51E1664001,475,0.14,165251.0,390786.0
B15E0121001,1584,0.15,161250.0,548475.0
B51A1798001,641,0.12,146004.0,391730.0
B38H2387001,511,0.09,136981.0,435118.0
B16F0140001,135,0.65,213570.0,549285.0
B12D1813001,1018,0.64,230427.0,551759.0
B17E1542001,686,-0.06,240580.0,543223.0
B17C0171001,2420,0.1,225247.0,534908.0
HLB02001,959,0.11,230181.0,537312.0
B31D1555002,220,0.06,117797.0,462296.0
B33G0313001,436,0.07,200920.0,461440.0
B51A0189001,2965,0.07,149124.0,390519.0
B17C0365001,1054,0.11,223759.0,533075.0
B17C1759001,677,0.11,224874.0,534259.0
B31D1555003,220,0.11,117797.0,462296.0
B17D0109001,759,0.14,231870.0,532900.0
B31D1554002,220,0.14,117786.0,462427.0
B37G0829001,827,0.15,86451.0,425547.0
B38F1978001,207,0.11,138933.0,446285.0
WIJB011001,293,0.11,159176.0,404313.0
B37D0213002,699,0.12,77280.0,429665.0
B31B1240002,164,0.13,117754.0,462695.0
B44E0143001,112,0.13,127382.0,422273.0
21DC306A001,2422,-0.04,193012.0,506240.0
B37H0992001,536,-0.05,93418.0,426443.0
B41E0246001,124,-0.05,242067.22,442969.99
B34E0318001,251,-0.05,242480.0,463140.0
B38E1618001,694,-0.04,127402.0,448222.0
B43A0120001,1060,0.05,64700.0,418090.0
B17C1758001,665,0.05,224656.0,533687.0
B39B1397001,567,0.05,158097.0,444825.0
B16F2055001,1800,0.03,217666.0,544862.0
B38C0980001,642,0.02,100808.0,428079.0
B07D2296001,1403,0.03,231090.0,576414.0
5231_PBF001,1737,0.17,115314.0,395879.0
B39H0404001,1956,0.17,171549.87,432631.1
5189_PBF001,1663,0.42,118028.0,392577.0
B23A0014001,20,0.44,262010.0,519100.0
B39H0386001,148,0.45,177600.0,436060.0
B28H1766001,1650,0.4,250504.6,479490.14
B22E0095001,77,0.46,247840.0,523260.0
B39D0573001,1055,0.47,154850.0,436340.0
B39G0287001,1295,0.48,162721.06,428584.31
B29A0066001,190,0.5,265138.46,491536.99
B39H0312001,1179,0.41,171821.18,426709.62
B12D0243001,814,0.35,233891.0,551652.0
B43A0145001,1427,0.38,68225.0,416964.0
B39F0739001,1298,0.38,174210.0,439540.0
B28H0617001,2540,0.38,255157.1561,483474.8755
B29A0160001,186,0.39,268004.51,490625.39
B17A0098001,258,0.39,220520.0,547680.0
B39F0738001,1694,0.51,175920.0,439440.0
B17A0042001,562,0.33,228520.0,542990.0
B17D1435001,478,0.71,237690.0,525949.0
B17C1757001,955,0.67,224289.0,532911.0
B39F0802001,508,0.71,179730.0,440420.0
16FL850201001,703,0.72,212507.0,542398.0
B17A1579001,196,0.72,224073.0,545443.0
WA306.170001,955,0.74,224288.0,532896.0
B43E0290001,1183,0.75,87419.0,421319.0
B39F0751001,1483,0.76,178240.0,439730.0
B28H0604001,1058,0.51,255349.67,484706.86
B34D0360001,1185,0.54,238500.0,460350.0
B44E0118001,1310,0.63,123802.0,417676.0
B37H0956001,2971,0.6,97400.0,427740.0
B23A0032001,414,0.6,266700.0,518900.0
B38E1620001,402,0.6,128017.0,448887.0
B28H0448001,2012,0.61,251376.98,478380.65
B34E1686001,73,0.62,249701.68,470946.32
B17B0096001,2310,0.62,234270.0,546860.0
B28F0164001,1797,0.2,251562.15,491151.81
B31D1422001,1468,0.2,115554.0,458581.0
21EC307A001,870,0.21,203729.0,517158.0
B28A0103001,1530,0.22,228500.36,491933.0
21EC406A001,1291,0.24,204385.0,518610.0
21CC705A001,716,0.24,187989.0,507504.0
B29A0082001,6,0.24,268319.49,489095.51
B40D0256001,1566,0.2,193615.0,432690.0
WA190.104001,821,0.2,220375.0,524130.0
B26H0465001,2039,0.17,177131.0,480417.0
B22F0085001,1556,0.17,257270.0,522335.0
B37H0994001,710,0.19,90074.0,430794.0
21FP7601001,1166,0.19,218725.0,520101.0
21EC407A001,810,0.19,203985.0,517712.0
B41E0431001,5,0.19,241906.4,441464.01
B17D0197001,260,0.19,238037.0,533699.0
B39H0384001,2066,0.3,176081.387,437034.7004
B12C0085001,494,0.27,225400.0,551380.0
B31D1423001,405,0.28,115757.0,459286.0
B43H0256001,1841,0.28,92886.0,404009.0
B17D1455001,617,0.29,235268.0,533206.0
B38F1981001,1075,0.29,139290.0,445906.0
B17D0030001,614,0.3,238870.0,534720.0
B31G0291001,809,0.27,127863.0,454533.0
B17D0181001,677,0.31,235586.0,533272.0
B43D0084001,833,0.32,76372.0,410131.0
B38E1623002,1196,0.32,129919.0,445890.0
21EC306A001,869,0.33,203905.0,518451.0
B40A0603001,385,0.27,182866.05,439537.1
B39G0344001,271,0.25,165050.72,430144.61
B39C0197001,569,0.27,147120.0,436840.0
21CC810A001,1587,0.26,188735.0,502260.0
B29A0080001,186,0.26,268039.4,490222.08
B41E0243001,183,0.26,243030.55,443867.02
B39G0354001,1295,0.26,162719.67,428583.27
B38E1622001,159,0.26,127671.0,448866.0
B07D0242001,348,-0.06,230228.0,578061.0
B46B0693001,2322,-1.44,194614.0,419572.0
10-640002,2428,-1.14,55173.0,426965.0
10-708001,2985,-1.12,55350.0,427835.0
BUND001001,837,-1.05,174718.0,390270.0
5206_PBF001,1674,-1.03,115885.0,395250.0
B38E1624002,955,-0.7,129895.0,445455.0
5236_PBF001,2254,-0.84,107906.0,395144.0
10-703001,2366,-0.89,55218.0,427531.0
B27D0148001,10,-0.77,194600.0,484850.0
B26H0166001,4,-3.79,177940.0,476200.0
EA_RH_B21001,2099,-2.39,263191.0,529890.0
10-697001,1612,-2.06,57717.0,428107.0
10-695001,1612,-3.16,57608.0,428219.0
B28D1744001,2831,-2.77,235764.43,484168.54
B07D2295001,1408,-0.13,230230.0,575914.0
22CG108C001,1433,-0.12,221650.0,504245.0
10-684002,2482,-0.14,55585.0,426798.0
GROO008001,201,-0.11,181949.0,372890.0
B31D1430001,405,-0.14,115725.0,460655.0
B29A0065001,367,-0.16,266597.02,492086.09
ASTE010001,2072,-0.18,185274.0,379787.0
B37D0412001,1363,-0.17,79131.0,429615.0
B43B0223001,1248,-0.16,79869.0,421081.0
B43F0133001,946,-0.16,91024.0,422014.0
B29A0056001,190,-0.15,264748.57,494835.22
B07C1799001,1474,-0.07,226099.0,577336.0
ASTE007001,1857,-0.07,182245.0,380818.0
B36H0290002,1470,-0.06,57445.0,426562.0
B29A0085001,1057,-0.06,266931.47,490084.05
B39H0411001,1612,-0.07,170214.0,431301.0
B39G0286001,1298,-0.09,161950.0,435720.0
B38F1982001,1075,-0.09,139336.0,445892.0
B07C1798001,1044,-0.08,228321.0,577537.0
B17D0199001,25,-0.08,238397.0,533477.0
B38H0235001,1065,-0.35,130411.55,427715.85
ASTE006001,254,-0.37,182337.0,380965.0
B29A0161001,91,-0.36,267117.37,490655.28
B38C0980002,642,-0.42,100808.0,428079.0
B22F0993001,1197,-0.34,252681.0,524007.0
B21D0098001,745,-0.31,198961.39,500287.61
10-686001,2366,-0.56,55113.0,427717.0
ASTE009001,2081,-0.55,183391.0,380454.0
B52C0422001,8,-0.53,188170.0,375140.0
5212_PBF001,374,-0.48,115715.0,389382.0
5233_PBF001,1679,-0.48,114952.0,396420.0
B07C1805001,1536,-0.45,226231.0,577111.0
B12B1761001,1223,-0.3,230692.0,574575.0
B27E0372001,1001,-0.28,203940.0,490480.0
B37D0409001,582,-0.2,73282.0,429205.0
GROO006001,201,-0.19,181985.0,372773.0
21BL0032001,1061,-0.21,194413.0,513454.0
B21G0977001,1825,-0.28,202088.36,500089.91
8139_PBF001,1827,-0.26,75757.0,392627.0
MV003.230001,349,-0.25,235805.0,529725.0
B38E1623001,1196,-0.25,129919.0,445890.0
21EL0012001,519,-0.23,202197.0,513417.0
B17C0396001,324,-0.23,225745.0,535547.0
B15F0278001,285,-0.22,177181.0,546070.0
B45F0652001,1717,-0.22,174033.0,421841.0
B17D0071001,839,0.76,238540.0,530600.0
B28H0454001,441,0.79,252305.46,477580.85
B17C0173001,2907,0.8,226660.0,531600.0
P12D0017001,1495,0.06,231345.0,554106.0
B31B1240001,164,0.06,117754.0,462696.0
B45B0357001,268,0.06,156362.0,421274.0
B29A0081001,67,0.02,267769.45,489520.48
B38H0344001,511,0.02,133876.0,430630.0
B34E1677001,382,0.03,246065.0,470376.0
B45C0542001,2062,0.03,149307.0,409159.0
B31B1239001,164,0.11,117745.0,462718.0
B45B0327001,2187,0.11,157905.0,421952.0
21EC208A001,810,0.12,202604.0,516663.0
B38H2377001,707,0.12,136960.0,431611.0
B39H0387001,1777,0.13,179645.0,436080.0
B44F0347001,583,0.14,132602.0,424605.0
B38E1621001,163,0.1,127348.0,448773.0
B31D1554001,220,0.07,117786.0,462428.0
B51B1743001,116,0.07,155929.0,399992.0
B12D0384001,619,0.08,237034.0,552464.0
B12D1770001,808,0.08,234639.0,551484.0
ASTE005001,1799,0.09,181893.0,381061.0
B11H0204001,1857,0.01,214600.0,550200.0
B12D1888001,872,-0.06,234129.0,552329.0
WIJB003001,173,-0.06,159594.0,404788.0
B12D1887001,872,-0.05,234053.0,552389.0
B38E1625001,1076,-0.05,129967.0,445610.0
22AP9004002,1049,-0.04,225792.0,515620.0
B41E0344001,123,-0.04,241907.62,441897.52
B17B0257001,1049,-0.04,238364.0,548548.0
B12C1570001,24,-0.06,229892.0,552826.0
5230_PBF001,256,-0.03,115044.0,396783.0
21DC309B001,803,-0.07,193101.0,503591.0
5215_PBF001,257,-0.08,97923.0,388396.0
21BL0031001,708,-0.08,196487.0,514087.0
B07C1807001,1402,-0.07,229278.0,576574.0
B58A0309001,21,-0.07,182400.0,371520.0
B28H0690001,1894,0.0,255383.76,484367.75
B45E0397001,623,0.0,164113.0,424559.0
WIJB001001,239,0.0,159846.0,405752.0
OV070.224001,212,0.01,228637.0,540703.0
B34D0386001,130,-0.03,236796.0,454003.0
B17E2222001,990,-0.03,241038.0,545023.0
B29A0108001,999,0.14,261630.0,492264.0
B17E1512001,619,0.14,241040.0,543590.0
B39F0747001,1653,0.41,175456.7,438145.9
B40A0686001,1242,0.41,182653.2,440313.8
B37D0407001,1894,0.42,70958.0,433844.0
B17C0357001,93,0.42,224422.0,535656.0
RM445_31eWijk001,587,0.43,233282.0,525645.0
B45A0333001,1716,0.38,147250.0,422720.0
B43A0143001,1001,0.44,65367.0,423231.0
B17C1761001,205,0.32,224809.0,536109.0
WA260.164001,1313,0.33,224759.0,533178.0
21FC910A001,1,0.33,219540.0,514057.0
B29A0073001,68,0.34,266529.75,491524.07
B17C1752001,2786,0.35,221821.0,536177.0
B45A0415001,208,0.36,147925.6681,421926.9338
B28H0655001,2536,0.36,256645.68,484106.48
B28H0658001,1890,0.55,256279.99,483292.68
B44A0578001,592,0.57,100208.0,418420.0
B29A0067001,187,0.57,267558.27,490654.97
B12D1823001,1079,0.57,230971.0,553253.0
B44A0577001,1600,0.58,100948.0,415622.0
B38H0234001,458,0.58,134735.8,428059.0
B39C0150001,506,0.6,141132.3,436120.3
B44F0255001,1294,0.62,137550.0,423600.0
B43F0135001,1310,0.63,94035.0,415872.0
B45A0416001,389,0.64,147250.0,420910.0
B43G0498001,772,0.55,81942.0,411516.0
B45A0371001,386,0.54,145860.0,419120.0
B12D1822001,145,0.44,230500.0,553362.0
B51B1750001,474,0.44,152070.0,391191.0
B39H3455001,1837,0.45,178463.26,436636.04
B37D0407002,1894,0.49,70958.0,433844.0
B28H0447001,1494,0.52,250895.31,478177.75
B17D1436001,1735,0.51,233908.0,536800.0
5309_PBF001,1948,0.2,101159.0,391247.0
21DG051A001,691,0.2,195218.0,511123.0
B45A0144002,148,0.21,149010.0,422270.0
B39B0407001,1419,0.21,159180.0,439660.0
B31B1239002,164,0.21,117745.0,462718.0
B29A0081002,67,0.22,267769.45,489520.48
B38H0344002,511,0.22,133876.0,430630.0
B12D1797001,749,0.22,231694.0,554212.0
B17C1762001,2540,0.22,225321.0,535685.0
B12D1798001,2597,0.16,230007.0,554003.0
DM-10-NW001,1949,0.15,164218.0,581902.0
ZUIDWOLDE-ZUID-PB17002,1422,0.17,222200.0,514960.0
B40C3507001,1958,0.17,182492.0,436200.0
B17D0198001,260,0.17,238234.0,533577.0
WIJB002001,358,0.17,159066.0,405492.0
22AP9003001,1049,0.18,221678.0,516237.0
B40C0550001,388,0.23,181100.0,437100.0
B12D1796001,1255,0.28,231983.0,553949.0
MIDDENLOOP-PB4001,380,0.29,213802.0,544530.0
B34G0300001,3,0.29,245570.0,455880.0
B17C1760001,2608,0.3,224361.0,536367.0
21DC008B001,741,0.31,190270.0,504900.0
B12D0311001,2085,0.31,237890.0,558260.0
B39D0224001,883,0.25,151590.0,427720.0
B29A0072001,248,0.24,268128.84,488207.6
B39F0735001,1432,0.24,176342.94,438354.87
B34A0108001,315,0.24,229916.0145,465941.5404
B31G0292001,2130,0.27,128122.66,457653.54
B17C0401001,265,0.25,223337.0,534038.0
21EC307B001,693,0.27,203017.0,517705.0
B51E0069001,193,-0.09,166483.0,399313.0
10-502001,2616,-1.75,57756.0,428266.0
10-694001,2739,-2.43,57469.0,428330.0
10-701001,2679,-2.17,57529.0,428499.0
2029_PBF001,2012,-0.82,110207.0,414870.0
5188_PBF001,563,-0.92,117050.0,392527.0
5228_PBF001,1670,-0.87,112720.0,404697.0
B58A0311001,553,-0.74,184149.0,374477.0
B51F0424001,998,-0.96,173020.0,395010.0
B12G1550001,981,-1.31,240984.0,560643.0
B12D1761002,1049,-1.06,238275.0,559272.0
21DC300A001,2017,-1.05,193774.0,512064.0
B50G0093001,2099,2.06,124420.0,386344.0
B17C0174001,705,2.04,222842.0,534563.0
B51E0050001,177,0.84,161200.0,396460.0
B37H0952001,650,0.86,92450.0,429520.0
16FL850901001,899,0.89,212864.0,541515.0
B38F1980001,1074,0.9,139173.0,446040.0
B17D1456001,20,1.07,237952.0,533778.0
B17B0095001,2843,1.47,230150.0,549160.0
5213_PBF001,2716,1.09,116258.0,388313.0
B37G0625001,768,1.18,88660.0,429330.0
B17D1457001,764,1.2,237388.0,534198.0
B17A0099001,2841,1.31,226820.0,539100.0
B12A0120001,1662,1.32,229008.0,572978.0
B17D0024001,412,1.32,233920.0,531000.0
10-501001,2366,-2.88,57842.0,428154.0
B26H0184002,182,-4.95,177700.0,476050.0
B37C0326002,40,-0.68,69275.0,435043.0
B29A0083002,246,-0.09,268422.01,490049.16
5216_PBF001,135,-0.2,100675.0,388477.0
B27G0312001,173,-0.21,200712.89,475623.56
B34F3256001,2188,-0.21,252892.6,474211.76
B17C0351001,2783,-0.21,225778.0,535249.0
B45E0407001,2063,-0.2,165128.0,423671.0
B58A0803001,201,-0.2,181985.0,372773.0
GROO005001,201,-0.2,181985.0,372774.0
GROO007001,201,-0.19,181985.0,372776.0
B39H0381001,1440,-0.22,176130.0,435580.0
B17E2221001,1793,-0.26,242136.0,545317.0
Brongebied Vl Aa-PB11001,2655,-0.25,214473.0,545609.0
B17C0364001,749,-0.25,223649.0,533481.0
B37C0323002,97,-0.23,66662.0,433640.0
5254_PBF001,1797,-0.23,115144.0,396369.0
B29A0083001,246,-0.18,268422.01,490049.16
B58A0805001,201,-0.12,181949.0,372890.0
B58A0806001,2966,-0.11,182046.0,372705.0
GROO009001,2966,-0.11,182046.0,372705.0
B51A0501001,1076,-0.1,147886.0,396842.0
B37G0829002,827,-0.17,86451.0,425547.0
B29A0162001,66,-0.17,268739.13,490298.76
B12G0191001,981,-0.26,240928.0,560572.0
10-709001,2363,-0.67,54955.0,427653.0
B39D2758001,2667,-0.47,152041.0,425275.0
B46A1560001,1484,-0.47,181141.0,419115.0
NPD-PB3D001,1974,-0.43,221828.0,532581.0
DYNA002001,329,-0.43,158244.0,407597.0
B51B0084001,658,-0.41,154601.0,394169.0
B12D1803001,205,-0.4,230864.0,553233.0
PEVE031_2001,741,-0.64,190523.0,381366.0
B37D0408001,819,-0.62,73369.0,432297.0
B38E1624001,955,-0.54,129895.0,445455.0
B38F1977001,1135,-0.56,130039.0,445551.0
21CL0007001,2010,-0.4,189123.0,512159.0
5251_PBF001,374,-0.28,115346.0,396574.0
B41E0428001,126,-0.28,243297.55,442058.38
B38H2374001,1365,-0.37,137689.0,436376.0
B34C0212001,2036,-0.37,221943.2513,450619.2388
B28H0654001,2478,-0.34,256210.45,484341.65
B07C1797001,1290,-0.32,228327.0,577428.0
DYNA003001,687,-0.34,158286.0,407607.0
22CG208D001,2296,-0.33,222430.0,504460.0
5238001,194,-0.09,116055.0,390807.0
B21E0002001,783,0.16,209768.0,513424.0
B21G0300001,1143,0.16,209654.4,506162.84
B21D0110001,1639,0.16,193753.21,502058.15
B34B0295001,1632,0.12,235886.09,471461.04
B11B0375001,982,0.22,198132.52,564401.77
2079_PBF001,1453,0.23,129306.0,411315.0
5207_PBF001,1405,0.17,116248.0,395165.0
21DL0019001,602,0.17,194306.0,501699.0
B31H0645001,1149,0.17,138075.0,460595.0
B39B1410001,1217,0.17,155071.0,445084.0
B52A0030001,2113,0.04,187606.0,389274.0
B41A0263001,1264,0.02,226990.0,446870.0
B27E0260001,1202,0.09,202600.0,496080.0
B58A0312002,492,0.09,184820.0,373400.0
21HG909E001,1038,0.1,219730.0,503330.0
B31H0793002,1149,0.11,138183.0,460813.0
B33E0276001,1927,0.41,205700.0,462790.0
B50G0047001,2023,0.6,128397.0,384713.0
B28D0351001,2240,0.57,232880.29,482602.93
B27A1071001,2023,0.27,187664.0,495893.0
5223_PBF001,622,0.35,119754.0,381928.0
B40A0609002,1628,0.37,185480.0,439530.0
B16H0092001,2940,0.34,210685.43,533004.28
B32A0462001,926,0.33,149192.03,472873.76
B29A0164001,1703,0.34,267012.28,489733.48
2075_PBF001,1331,-0.29,126529.0,411464.0
B12B1760001,805,-0.27,230827.0,574119.0
B39E2660001,782,-0.26,160396.0,444546.0
B39B1406001,780,-0.21,159694.0,445159.0
B44H0133001,2089,-0.2,134080.0,402410.0
B57B0154001,2090,-0.2,159321.0,368159.0
5192_PBF001,563,-0.24,107452.0,404817.0
B41E0262001,2023,-0.59,244882.0,446118.0
B50H0106001,1460,-0.82,138504.0,380857.0
B51C1816001,2651,-0.45,149203.0,380573.0
B21H0080001,856,-0.42,218354.71,503353.41
B51C1843001,1753,-0.46,144998.0,377844.0
B28A0118001,1482,-0.46,227247.77,497049.28
B39B1411001,1335,-0.03,151606.0,446272.0
2142_PBF001,2529,-0.04,127191.0,411366.0
5312_PBF001,312,-0.06,103368.0,391160.0
B22A0129001,2764,-0.06,226720.0,521750.0
B46A1648001,1746,0.0,183745.0,420349.0
B39B0420001,1988,-0.07,157760.0,446140.0
B40B0371001,2210,-0.13,196310.85,445748.64
5227_PBF001,1702,-0.12,112658.0,404158.0
B33F0079001,1143,-0.15,218418.31,474528.88
B40B0371002,2210,-0.16,196310.85,445748.64
B07C1795001,1403,-0.07,229903.0,577008.0
B33H0407001,2040,-0.08,219296.09,453577.66
B12B1758001,1222,-0.08,231442.0,574266.0
BULT001001,1697,-0.08,186131.0,389305.0
B34B0293001,853,-0.07,235499.3,471668.52
B44G0515001,1969,-0.1,123647.0,407562.0
B52D0673001,1278,0.21,190105.0,375318.0
B28G0412001,1227,0.22,246280.0,483320.0
B40D0258002,2055,0.16,199440.0,436620.0
B27D0382001,2056,0.17,199023.33,477085.05
B52D0673002,1278,0.27,190105.0,375318.0
B15F0077001,865,0.31,174425.0,548825.0
B40A0613001,1687,0.31,185250.0,438270.0
B40A0609001,1628,0.23,185480.0,439530.0
B11B0260001,981,0.23,197925.0,564700.0
B07C1804001,1406,0.26,225657.0,576725.0
5325_PBF001,1720,0.09,100302.0,388358.0
B52A1488001,1456,0.09,186680.0,389915.0
5330_PBF001,2070,0.05,104727.0,393166.0
B11B1805001,801,0.05,198009.0,564313.0
B52D0672001,795,0.14,190095.0,375355.0
ZUIDWOLDE-ZUID-PB2001,1152,0.11,228603.0,515636.0
B31H0645002,1149,0.11,138075.0,460595.0
DEUR022001,1939,0.12,189665.0,379061.0
SOMP007001,1024,0.11,143361.0,413993.0
B46A1643001,1980,0.12,182370.0,421982.0
B34B0357001,2121,0.12,233109.75,469735.28
B11B0258001,2364,0.32,197400.0,564737.5
5165_PBF001,2086,1.19,110703.0,396222.0
Spijk Wardstraat (1211)_894_FT1_WATHTE_m_NAP_GW_DagGem001,2401,-1.05,208489.0,429792.0
B26H0603001,480,0.4,175452.7451,486420.3387
B40A0644001,1449,0.41,185220.0,439020.0
B52D0672002,795,0.34,190095.0,375355.0
B40E0274001,1090,0.59,202330.0,443180.0
B44G0310001,1870,0.59,121568.0,411846.0
B39F0742001,1936,0.62,178041.4,438183.6
B40A0613002,1687,0.62,185250.0,438270.0
B39F0738002,1694,0.47,175920.0,439440.0
CORK008001,2113,0.02,187613.0,389259.0
2125_PBF001,1453,-1.06,129241.0,411323.0
B40D2175001,1565,-1.3,197157.0,430305.0
B11B0263001,982,-0.68,198474.0,564094.0
8129_PBF001,1826,-0.53,83302.0,400467.0
B16G0167001,422,1.39,207000.81,533755.2
PEVE017_2001,1159,-0.38,190322.0,381582.0
B39F0743001,2045,-0.11,176690.66,440514.49
2146_PBF001,1272,-0.1,125745.0,411255.0
B32B0164001,564,-0.08,158130.0,470980.0
B34C1034001,790,-0.09,223200.3728,454621.9083
B17F0052001,2700,-0.09,250460.0,544290.0
21GG066C001,902,0.02,206485.0,506094.0
B27B0436001,1262,-0.03,199592.0,499976.0
B39B1411002,1335,-0.03,151606.0,446272.0
DEUR018001,2058,-0.03,189230.0,378615.0
B60B021401.0,1387,-0.02,194133.0,347991.0
B28B0057001,1451,-0.02,239360.0,492890.83
B57B0007001,1849,-0.01,155007.0,366275.0
16GL852301001,601,0.0,201242.0,531712.0
B39B1407001,1146,-0.27,159967.0,444538.0
B32B0402001,2362,-0.28,156492.4931,470340.9919
B58A0311002,553,-0.32,184149.0,374477.0
B31H0415001,1384,-0.14,130729.0,461483.0
