xy_buis (ID),som_key,GHG_ERROR,lon,lat
2092_PBF2002,1512,-0.06,128306.0,411307.0
B46D1488001,2502,-0.13,194741.0,412020.0
B52G2949001,1965,-0.1,208229.0,381892.0
B46A1592001,2228,0.0,184040.0,418970.0
B52E3232001,2523,-0.05,208086.0,390548.0
B40G1173001,1274,-0.04,200793.0,434993.0
2126_PBF001,2231,-0.03,128038.0,411462.0
2142001,2529,-0.03,127191.0,411366.0
B58G0406001,1200,-0.03,203972.0,351193.0
5192001,563,-0.27,107452.0,404817.0
B40G1185001,1742,-0.26,202575.0,433534.0
B46D1486001,2315,-0.29,194398.0,410896.0
B51C0355001,1845,-0.35,140140.0,377440.0
B52D2024001,1159,-0.34,190322.0,381582.0
PEVE017002,1159,-0.34,190322.0,381582.0
B51A1818001,1970,-0.33,140522.0,396700.0
B52G2948001,2503,-0.33,208578.0,377928.0
B51C0393001,1875,-0.31,148136.0,382291.0
B49H0025001,133,-0.16,97288.0,387269.0
CORK013001,2113,-0.22,187613.0,389260.0
2075001,1331,-0.21,126527.754,411458.901
5227001,1702,-0.21,112658.0,404158.0
B40C0414001,1983,0.47,184710.0,435500.0
B28A0445001,1702,-0.09,225337.08,495970.77
PEVE072001,795,-0.08,188628.0,379696.0
B39H0381002,1440,-0.15,176130.0,435580.0
B21G0012001,661,0.0,204128.0,511133.0
PEVE049001,2238,0.0,191133.0,380095.0
22AP7620001,1088,-0.01,226030.0,515623.0
B43H0257001,1767,0.01,98160.0,402471.0
B46D1492001,1748,-0.02,197498.0,404735.0
B21E0015001,842,-0.04,208707.0,520651.0
5010_PBF001,1672,-0.04,110401.0,404625.0
2145_PBF001,2231,-0.19,128032.0,411457.0
2073_PBF001,1510,-0.62,125768.0,411305.0
2134_PBF001,1391,-0.56,125551.0,411259.0
5006_PBF1001,1842,-0.55,109246.0,404098.0
2155_PBF001,1908,-0.76,128388.0,411151.0
PEVE049_2001,2238,-0.75,191133.0,380095.0
B11B0155001,801,-0.26,197825.0,564400.0
B34B1258001,1160,-0.24,234164.98,469880.83
B46D1501001,1631,-0.24,196074.0,405105.0
B51C0282002,1905,-0.22,140153.0,377457.0
BULT002001,1789,-0.4,186227.0,389660.0
2019_PBF001,1332,0.27,125142.0,411086.0
B52E1856001,2280,0.23,201340.0,398780.0
BULT005001,1094,0.28,187028.0,390098.0
BULT004001,1515,0.3,187526.0,389898.0
VLIJ002001,1268,0.17,140988.0,410353.0
B46A1646001,1327,0.19,182120.0,421227.0
PEVE073001,1938,0.22,188948.0,378983.0
B21G0300002,1143,0.2,209654.4,506162.84
B33B0329001,501,0.21,198940.0,465730.0
PEVE074001,978,0.3,189474.0,379066.0
B21C0816001,1280,0.17,189333.49,500270.88
B12G1539001,2427,0.44,240757.0,560531.0
5243_PBF001,439,0.45,113170.0,394254.0
5229_PBF001,1379,0.33,111193.0,404979.0
B39F0745001,1819,0.33,179133.95,438008.51
B46A1561001,2407,0.06,181889.0,418531.0
16DL851001 Gelderingen001,600,0.08,198063.0,533585.0
B46D1502001,1573,0.03,198371.0,403148.0
B12E0398001,1886,0.04,240660.0,562760.0
B45A2445001,1024,0.14,143361.0,413993.0
B12E1526001,1704,0.15,240607.0,563236.0
B11B0099001,982,0.12,198131.86,564401.09
21DL0018001,1097,0.14,191641.0,502598.0
5006_PBF2002,1842,0.13,109246.0,404098.0
PEVE071_2001,1730,0.13,190771.0,379035.0
PEVE074_2001,978,0.13,189474.0,379066.0
CORK005001,853,0.13,186455.0,390097.0
16GL852001 De Auken001,662,-0.3,204729.0,530982.0
B40G1055001,1742,-0.26,202585.0,433552.0
2087001,1924,-0.15,125394.0,411547.0
B11B1731001,2182,-0.14,198163.0,564050.0
B21F0770001,2415,-0.14,211064.0,522686.0
5357_PBF2001,2416,-0.24,113322.0,396099.0
B11B1730001,865,-0.24,198135.0,564073.0
B52D1990002,2177,-0.24,192556.0,381428.0
B40E1528001,1262,-0.21,202726.0,448579.0
B23A0771001,2527,-0.84,266859.0,524438.0
B12D1817001,2359,-0.77,230780.0,554821.0
B23A0768001,2707,-0.7,266485.0,524446.0
B60B1247001,2464,-1.33,195613.0,348806.0
B52E3248001,2286,-1.05,206074.0,394183.0
2134001,1391,-0.53,125551.0,411259.0
B50C0213001,1407,-0.69,104145.0,384128.0
2073001,1510,-0.62,125768.0,411305.0
2135_PBF001,1510,-0.59,125802.0,411333.0
5006001,1842,-0.58,109246.0,404098.0
B52A1488002,1456,0.06,186682.0,389915.0
B52E0021001,2391,0.08,205829.0,395347.0
B45E0394005,1080,0.09,164608.0,422730.0
B22A1176001,1152,0.1,228814.0,515619.0
B57E0068001,2344,0.03,168786.0,367153.0
5330001,2070,0.03,104727.0,393166.0
B41B0487001,671,0.06,231225.0,449337.0
B40E1527002,1262,0.16,202836.0,448939.0
5370_PBF001,1883,0.17,105345.0,393403.0
5317_PBF001,1493,0.17,98593.0,386377.0
B50C0214001,1525,0.17,104024.0,384067.0
B11B0234001,563,0.18,199125.0,564650.0
5006002,1842,0.13,109246.0,404098.0
B44D0661001,2038,0.14,119631.0,402298.0
B43H0317001,1464,0.02,94235.0,400054.0
B22A1166001,1321,0.02,222876.0,516768.0
B51C0299001,672,-0.13,147503.0,384555.0
B40A0643001,1449,-0.08,185220.0,439020.0
B34C1147002,2100,-0.08,223138.0,459262.0
B60A1753001,668,-0.08,188700.0,343225.0
B49E1216001,1408,-0.07,80470.0,395644.0
B49E1217001,1480,-0.1,80240.0,396032.0
B21F0732001,1081,-0.12,219430.0,518671.0
B11B1732001,2182,-0.05,198180.0,564035.0
B52C2093001,2058,0.0,189230.0,378615.0
5010001,1672,0.0,110401.0,404625.0
B21H0349001,914,0.01,210813.56,504227.008
B43H0317002,1464,0.01,94235.0,400054.0
B52D0110002,1976,-0.04,193605.0,385430.0
B22E0561001,964,-0.03,244376.0,517905.0
B46A1547001,2220,-0.03,181979.0,420783.0
B52C2104002,918,-0.03,189136.0,377108.0
2126001,2231,-0.02,128024.9,411458.904
B52C2104001,918,-0.02,189136.0,377107.0
B49E1218001,1464,-0.02,80660.0,396253.0
B40G1187001,1567,0.2,201613.0,435908.0
2079001,1453,0.22,129306.0,411315.0
B34B1293001,1580,0.16,238406.33,473567.08
5207001,1405,0.15,116248.0,395165.0
