Chloride_Lekhaven,Chloride_Lekhaven_T_12h,Chloride_Lekhaven_T_24h,Debiet_Lobith_T_30h,Waterstand_Hoek_van_Holland,delH_HvH_Spuihaven,delH_HvH_Spuihaven_T_12h,delH_HvH_Spuihaven_T_24h,U_matrix,X,Y,XY,Hits
111.65076980468734,120.00468753833002,124.2074038134765,4224.789439003906,-0.4050595290682316,-0.6726716831498742,-0.6583458988629579,-0.6629299883628189,0.05081328150598474,0,0,0,2878
112.80811228027346,120.83657169897447,124.70449729931624,4203.942138794251,-0.3934961669809818,-0.6606439677389264,-0.6484242670862377,-0.6522048237047493,0.06579100746165475,1,0,1,245
115.01737364257815,122.3717339731445,125.75082694433604,4167.6924665747065,-0.37376798886942864,-0.6405807593572735,-0.6315898756929934,-0.6342896063513755,0.09154704927716739,2,0,2,275
118.9215219335938,124.9913580500488,127.75774050488303,4110.763107603454,-0.3438019754066467,-0.610936217119038,-0.6060556349955499,-0.6075746473790407,0.11359523930674947,3,0,3,294
124.4985456347656,128.59464459545893,130.82025351904304,4040.3212936361692,-0.3085191194827557,-0.5772477498876453,-0.5758175807939767,-0.5765677287918032,0.11444350301040687,4,0,4,290
130.51232420410133,132.30684076635725,134.29063811132824,3975.959733131409,-0.27850287130284307,-0.5501369599735737,-0.5498627907405198,-0.5506285549883544,0.09515779929188475,5,0,5,295
135.80088116210936,135.43973041870117,137.42383341601567,3926.7967989361573,-0.2576072383651733,-0.5327236710444689,-0.5317546608937085,-0.5329960943505764,0.07498037592626056,6,0,6,276
140.08965177734376,137.96898267871097,139.91625320166008,3888.7013713323977,-0.24301907651042937,-0.5206969373275638,-0.5186454153113067,-0.5201868233233988,0.06394193679545696,7,0,7,323
143.37052654296872,140.06491366284172,141.65434231298832,3857.9518293496703,-0.23302236780142782,-0.5102932710945607,-0.5075693151004017,-0.5087694597772658,0.05960225629936594,8,0,8,307
145.67941898925778,141.83295715747067,142.6230373110352,3832.9111816711425,-0.22740880561113358,-0.5000581290055514,-0.497168642643094,-0.497255123085022,0.05850123305702139,9,0,9,311
147.13913021972667,143.22676864111327,142.96254405078116,3811.4927912963867,-0.22525139195942878,-0.4896711515712738,-0.48696337695726755,-0.4853555058796108,0.05872278897853824,10,0,10,327
147.84118181152348,143.98102572827156,142.8524650737304,3792.7271097201537,-0.22497476611709594,-0.47913593833655116,-0.47678163850814104,-0.4732250468752086,0.059146613846358456,11,0,11,298
147.69984469238284,143.76552370336913,142.3959270004882,3778.2139923434447,-0.22588234000658985,-0.4684649240925908,-0.46645840987163784,-0.46099434963560104,0.059619734075881614,12,0,12,304
146.5587212304688,142.51190439721677,141.642755052246,3769.4549345739747,-0.22888369690608984,-0.4575910264131427,-0.45569175817677376,-0.44867255641025305,0.06052541410508002,13,0,13,298
144.4120189208984,140.53994500805652,140.63118718945316,3765.1451609906007,-0.23562385635256766,-0.4464308013045788,-0.44416864046856763,-0.43631354116922616,0.06177070618184745,14,0,14,291
141.51229097656255,138.3119321376953,139.34036634277345,3762.980237464905,-0.24684428277087211,-0.4350117362000942,-0.431866183044672,-0.4241073320978284,0.06274360840376192,15,0,15,314
138.26617124023437,136.12562933666982,137.6671658916016,3762.8316938015746,-0.26157444142603875,-0.4234833758255243,-0.4190673662798405,-0.41220738838350773,0.06319687438297009,16,0,16,303
135.0351120166015,134.07024980883784,135.58493513623057,3766.2502054049683,-0.27786924407076835,-0.41194258065974715,-0.40598164793413877,-0.40052130800488595,0.06351638026095285,17,0,17,350
132.07977602539063,132.18866223657233,133.31846693505872,3773.8520277432253,-0.29374073549914365,-0.4003068884031773,-0.39259301641592387,-0.3887947405214906,0.06389812576762152,18,0,18,339
