date,symbol,value
2000-Jan-17,nura hera,36.623684210526314
2000-Jan-17,wonji,35.14678048780486
2000-Jan-17,mojo,4.130750000000001
2000-Jan-18,koka,34.38317499999999
2000-Jan-18,awash station,32.11605714285713
2000-Jan-18,hombole,3.7681142857142853
2000-Jan-18,keleta,1.5196176470588234
2000-Jan-18,metahara,20.93
2000-Jan-18,nura hera,35.37315789473685
2000-Jan-18,wonji,34.57046341463414
2000-Jan-18,mojo,4.145750000000001
2000-Jan-19,koka,34.359550000000006
2000-Jan-19,awash station,34.4508
2000-Jan-19,hombole,3.8006285714285712
2000-Jan-19,keleta,1.469676470588235
2000-Jan-19,metahara,24.28707142857143
2000-Jan-19,nura hera,34.79052631578947
2000-Jan-19,wonji,31.153219512195115
2000-Jan-19,mojo,4.195025000000002
2000-Jan-20,koka,34.06345000000002
2000-Jan-20,awash station,34.20554285714286
2000-Jan-20,hombole,3.8781428571428576
2000-Jan-20,keleta,1.4186470588235292
2000-Jan-20,metahara,22.940250000000002
2000-Jan-20,nura hera,32.25157894736842
2000-Jan-20,wonji,31.265414634146342
2000-Jan-20,mojo,4.146125000000002
2000-Jan-21,koka,34.910075
2000-Jan-21,awash station,31.512485714285717
2000-Jan-21,hombole,3.8996000000000004
2000-Jan-21,keleta,1.4175588235294116
2000-Jan-21,metahara,21.07921428571429
2000-Jan-21,nura hera,34.02789473684211
2000-Jan-21,wonji,31.727243902439024
2000-Jan-21,mojo,4.155075000000002
2000-Jan-22,koka,35.141615384615385
2000-Jan-22,awash station,30.660514285714285
2000-Jan-22,hombole,5.933028571428571
2000-Jan-22,keleta,1.738411764705882
2000-Jan-22,metahara,20.820214285714286
2000-Jan-22,nura hera,33.83263157894737
2000-Jan-22,wonji,32.06526829268293
2000-Jan-22,mojo,4.165200000000002
2000-Jan-23,koka,34.54020512820512
2000-Jan-23,awash station,30.532714285714285
2000-Jan-23,hombole,4.454828571428572
2000-Jan-23,keleta,1.4113823529411764
2000-Jan-23,metahara,20.518571428571427
2000-Jan-23,nura hera,31.20631578947368
2000-Jan-23,wonji,33.281
2000-Jan-23,mojo,4.205824999999999
2000-Jan-24,koka,33.88607692307692
2000-Jan-24,awash station,33.09345714285713
2000-Jan-24,hombole,4.375857142857144
2000-Jan-24,keleta,1.3774117647058823
2000-Jan-24,metahara,20.652749999999997
2000-Jan-24,nura hera,32.705789473684206
2000-Jan-24,wonji,33.389
2000-Jan-24,mojo,4.176024999999998
2000-Jan-25,koka,36.99850000000001
2000-Jan-25,awash station,41.08057142857143
2000-Jan-25,hombole,5.150799999999999
2000-Jan-25,keleta,1.5134705882352941
2000-Jan-25,metahara,22.06107142857143
2000-Jan-25,nura hera,34.544210526315794
2000-Jan-25,wonji,34.861707317073176
2000-Jan-25,mojo,4.154850000000001
2000-Jan-26,koka,37.48258974358974
2000-Jan-26,awash station,42.62888571428572
2000-Jan-26,hombole,4.153885714285713
2000-Jan-26,keleta,1.482794117647059
2000-Jan-26,metahara,24.273678571428572
2000-Jan-26,nura hera,40.514736842105265
2000-Jan-26,wonji,33.312634146341466
2000-Jan-26,mojo,4.20875
2000-Jan-27,koka,38.27005128205128
2000-Jan-27,awash station,42.13345714285715
2000-Jan-27,hombole,4.365428571428571
2000-Jan-27,keleta,1.4702647058823526
2000-Jan-27,metahara,23.972999999999995
2000-Jan-27,nura hera,37.29894736842105
2000-Jan-27,wonji,34.0139756097561
2000-Jan-27,mojo,4.2379750000000005
2000-Jan-28,koka,36.6934358974359
2000-Jan-28,awash station,40.556428571428576
2000-Jan-28,hombole,4.547485714285714
2000-Jan-28,keleta,1.468441176470588
2000-Jan-28,metahara,21.909321428571428
2000-Jan-28,nura hera,34.50473684210527
2000-Jan-28,wonji,34.64178048780487
2000-Jan-28,mojo,4.192324999999999
2000-Jan-29,koka,36.9008205128205
2000-Jan-29,awash station,39.38511428571428
