ELCT,GAS,INW,OAW,Pand,TERR,WAT,WEG,OCC_W80,OCC_W56,OCC_W28,OCC_W22,OCC_Z80,OCC_Z56,OCC_Z28,OCC_Z22,OCC_T80,OCC_T56,OCC_T28,OCC_T22,U_matrix,X,Y,XY,Total stations
6930.226294189553,3819.70272463901,482.7148574136394,834.7449273091954,0.03154861949611677,0.4699558377324809,0.026666079826620198,0.02142723809113751,1.9561106019694297e-08,-7.755612202453577e-08,0.12579620723344043,0.4796207383528994,1.64506100575057e-07,0.006282490084898562,0.2587245370152864,0.6735890885887486,-1.5656601726199426e-07,0.006282908074327187,0.38452418233056207,1.153215376530781,0.492127307474292,0,0,0,42.0
7010.632970659143,3856.13610508054,428.83710127807603,738.9649500006612,0.028851863840529186,0.5137938035694716,0.02841088116295716,0.02019702503342777,1.9561106019694297e-08,5.426396094132535e-07,0.5826578098440418,2.420803652357783,1.64506100575057e-07,0.025297578636094498,1.2906391175139547,3.4748843009964396,-1.5656601726199426e-07,0.025297947614778105,1.873298482722376,5.895692233608706,1.0644216228842165,1,0,1,
7711.927386293644,4325.798796874145,277.59282522657213,450.9599472635632,0.01966660448950424,0.687733850308898,0.03164247414247343,0.01626004827207932,1.9561106019694297e-08,1.4807141431594228e-05,2.156455881813806,8.688887638983285,1.64506100575057e-07,0.05521411580084168,4.894813394785009,13.212154755891056,-1.5656601726199426e-07,0.055228835899344464,7.051271590001985,21.9010404404048,1.135650867325963,2,0,2,3.0
8781.160013957211,5072.489618909758,231.46049754785884,329.141143624546,0.015325435061283782,0.7942340034300301,0.03269133963422297,0.014357288390149003,1.9561106019694297e-08,0.0003962275162421869,3.250878852763212,11.810440336109785,1.64506100575057e-07,0.03345138025880989,6.929162575317642,18.654786942972855,3.200842442208085e-07,0.03384795958633524,10.180043253752888,30.465222316594787,0.6209555537622635,3,0,3,12.0
10219.300404112688,5863.560751611266,244.21159618956358,320.12682600794597,0.016657892997096482,0.8090021461932746,0.03542082762977235,0.014691477727908873,1.9561106019694297e-08,0.004329508844776342,3.8987985037548576,12.792450226517724,1.1252627654528835e-05,0.03573471898809255,7.799527416138037,20.396849291944275,1.1283040257825672e-05,0.040064614697093326,11.698327129691572,33.1892984740099,0.4508816835490946,4,0,4,10.0
12276.587468346606,6794.129918256773,288.3452185489151,380.3026938441867,0.021203281318730192,0.787102781993403,0.038018290598388224,0.016668751283537165,1.9561106019694297e-08,0.018592770275496828,4.386950931860524,13.680002634402719,0.00044326290204532715,0.08523938338126902,8.752993159037866,21.650440474389264,0.0004431281771416773,0.10383177585618175,13.139949421222925,35.33043688593774,0.4107509040064698,5,0,5,5.0
13794.39602632125,7437.634472665726,343.41115333689766,491.83572096227294,0.025005691983906835,0.7614980389369482,0.0387773266396718,0.0182736809094518,1.9561106019694297e-08,0.031196387928992764,4.609312764388829,14.312336849130853,0.00906214507918024,0.20500642602958263,9.148012909784619,22.103712553190356,0.009061918204883751,0.23620170743710522,13.757326493515661,36.41604956096227,0.3598507248653799,6,0,6,16.0
14244.67588999894,7595.54930734393,410.41944147693243,654.2988275763912,0.025891652484156848,0.7547258034945165,0.03583491592911691,0.01851777410990905,1.9561106019694297e-08,0.029459219685343374,4.5418241037683265,14.42831005740961,0.11728775550659563,0.49389922227851835,8.977426454167837,21.894943582133568,0.11728774332096445,0.5233592056953225,13.51925015599929,36.32325273372078,0.7048606609696381,7,0,7,8.0
13452.648054028905,7137.194517934133,666.1112121720629,1060.7125159680713,0.027600042008750943,0.7406171421299772,0.025767144716764098,0.019343740869002604,1.9561106019694297e-08,0.03606554461620842,4.467553748500219,13.724223933448513,0.6130099498802111,0.9695859748994504,8.428021788522628,21.615819239543082,0.6130097350437863,1.0056508170184197,12.895572766164365,35.34004983527568,0.8819729224611612,8,0,8,
12256.973668770619,6583.8104518820055,785.885677018711,1248.4580938721479,0.029470444201506088,0.7192917168413956,0.0197883741139067,0.0205313426219169,1.9561106019694297e-08,0.06763350734443135,4.548890888764174,13.379118913468933,0.946755158728741,1.1506759924380647,8.183901362240904,21.83053082107316,0.9467554816163284,1.2183097912722274,12.732791400059043,35.20965097415983,0.5628655880079902,9,0,9,16.0
10545.378790626823,5748.160003584109,606.433291580312,1074.7507263322957,0.02973863884688055,0.7181080135326332,0.018992664454030486,0.02113896251445143,1.9561106019694297e-08,0.10386038040692563,4.497574626080383,13.49220366428543,0.996376635013775,1.1440502939546375,8.289852246050566,22.50803121894499,0.9963766804354889,1.2479106836533176,12.787425036000856,36.000236391879156,0.5042439437169495,10,0,10,6.0
8577.702943639528,4528.153643697392,382.82412587779174,835.2372101157439,0.027199527144910376,0.7483235210318462,0.01975860376469621,0.01974026006118109,1.9561106019694297e-08,0.10050760228298117,4.379797755850057,13.599938204120695,0.9994958089001464,1.09655077515513,8.259712954167897,22.78673465635189,0.9994958797464911,1.1970588346062558,12.639514272329667,36.3866796107751,0.46464946470656987,11,0,11,8.0
7743.699761248353,3897.8917618298183,319.54604178298325,746.2742086250439,0.02298282905817929,0.7735468567013928,0.020731641156826255,0.01720875097907125,1.9561106019694297e-08,0.07182913146734743,4.377024604280781,13.855238455728188,0.9875287404799296,1.0643391446215669,8.126218529023207,22.48379706795128,0.987528621631984,1.1361680944325843,12.503246742547717,36.3390397458241,0.4234231818088504,12,0,12,21.0
