Annual maxima of daily discharge,Annual maxima of daily precipitation,Annual maxima of daily precipitation and snowmelt,Annual maxima of daily snowmelt,Annual maxima of daily total runoff coefficient,Annual mean of daily discharge,Annual mean of daily near-surface air temperature,Annual mean of daily precipitation,Annual mean of daily total runoff coefficient,Area,Average elevation,Average water capacity,Build-up areas,Circularity,Clay,Confidence,Eolian deposits,Forests,Glaciers,Gravel,Irrigated agriculture,Lakes,Marshes,Peat,River network density,River slopeness,Sand,Silt,Slopeness (average),Soil sealing,Soil texture (dimensionless index from 1 to 13),Steepness (equation),Time of concentration,Total area,Unconsolidated deposits,U-matrix,X,Y,XY,Total events in node
33.934,30.448,31.929,13.922,0.490,11.123,279.962,1.859,0.267,1702.654,111.226,1.816,2.731,0.251,8.427,54.807,0.188,32.168,0.000,3.736,0.024,1.170,0.684,0.532,0.242,2.009,64.381,27.198,2.396,1.537,0.024,6.245,133.007,1787.968,5.892,0.491,18,0,18,94.000
30.296,31.057,32.300,13.013,0.463,8.366,280.365,1.866,0.266,1295.486,97.251,0.439,2.666,0.245,9.077,42.820,0.215,22.902,0.000,3.628,0.037,0.470,0.535,0.809,0.212,1.530,63.208,27.731,1.844,1.577,0.006,5.195,129.408,1381.725,4.887,0.432,19,0,19,133.000
34.405,31.925,32.901,12.071,0.433,8.283,280.567,1.826,0.257,1529.248,99.781,0.043,2.803,0.240,10.094,37.805,0.235,17.547,0.000,3.863,0.065,0.394,0.418,1.158,0.199,1.346,61.194,28.722,1.605,1.770,0.001,4.496,135.858,1560.733,6.744,0.344,20,0,20,155.000
65.344,32.570,33.423,11.601,0.409,16.543,280.632,1.733,0.237,3632.603,117.580,0.002,2.974,0.239,11.076,40.165,0.238,17.427,0.000,4.188,0.115,0.528,0.321,1.726,0.201,1.437,59.307,29.616,1.599,2.039,0.000,3.983,156.111,3621.548,9.285,0.347,21,0,21,174.000
140.726,33.350,34.094,11.446,0.394,40.765,280.631,1.644,0.219,9397.573,137.378,0.000,3.336,0.243,11.527,45.737,0.227,19.614,0.000,4.425,0.197,0.641,0.252,2.442,0.208,1.611,58.448,30.014,1.673,2.318,0.001,3.638,194.758,9382.185,11.245,0.354,22,0,22,86.000
233.534,33.891,34.526,11.405,0.391,76.515,280.631,1.609,0.208,17619.327,145.705,-0.000,3.937,0.248,11.622,50.899,0.215,21.958,0.000,4.588,0.228,0.788,0.235,2.717,0.218,1.839,58.207,30.149,1.802,2.619,0.002,3.623,233.856,17602.862,12.251,0.380,23,0,23,114.000
290.662,33.269,33.945,11.504,0.406,111.062,280.676,1.641,0.205,24320.430,140.382,-0.000,5.208,0.252,11.786,56.149,0.228,26.187,0.000,5.226,0.158,1.177,0.261,1.858,0.244,2.464,57.570,30.634,2.135,3.137,0.008,4.497,230.004,24283.685,11.347,0.472,24,0,24,8.000
269.340,32.452,33.242,11.719,0.434,111.350,280.777,1.685,0.207,23517.421,127.449,-0.000,7.019,0.254,11.781,60.437,0.253,30.815,0.000,5.840,0.108,1.577,0.274,0.765,0.270,3.024,57.415,30.818,2.446,3.905,0.014,5.693,212.286,23458.783,9.622,0.501,25,0,25,92.000
209.192,32.269,33.137,11.834,0.452,78.876,280.888,1.742,0.213,15905.876,115.282,-0.000,8.201,0.251,11.877,63.832,0.270,31.130,0.000,5.780,0.087,1.495,0.276,0.321,0.273,3.274,57.315,30.837,2.554,4.652,0.018,6.958,203.651,15885.126,9.591,0.486,26,0,26,165.000
190.187,32.405,33.323,11.825,0.457,52.800,280.984,1.857,0.227,8734.169,109.357,-0.000,8.759,0.244,12.232,70.589,0.292,26.140,0.000,4.991,0.043,0.966,0.256,0.304,0.255,3.388,56.500,31.308,2.548,5.532,0.022,7.929,191.449,8817.539,10.823,0.447,27,0,27,115.000
199.764,32.468,33.380,11.818,0.456,45.217,281.011,1.942,0.240,5897.539,106.685,-0.000,8.902,0.236,12.453,77.385,0.312,20.822,0.000,4.182,0.014,0.684,0.221,0.610,0.235,3.181,55.816,31.777,2.476,6.084,0.024,7.716,182.781,6022.653,11.986,0.347,28,0,28,307.000
187.048,32.257,33.289,12.410,0.472,41.147,280.887,1.960,0.253,4997.609,109.736,-0.000,8.660,0.238,12.926,78.836,0.311,19.087,0.000,4.092,0.011,0.785,0.201,1.095,0.226,3.232,54.600,32.517,2.573,5.836,0.029,8.070,172.183,5114.928,16.046,0.722,29,0,29,35.000
118.179,30.922,32.517,14.291,0.519,24.946,280.472,1.921,0.264,3062.223,140.179,0.001,8.306,0.254,15.199,71.153,0.252,19.711,0.000,5.145,0.029,1.048,0.185,0.970,0.240,4.983,49.293,35.534,3.432,4.614,0.055,12.406,138.435,3121.640,32.885,0.997,30,0,30,26.000
91.433,30.568,32.469,15.562,0.543,15.047,280.207,1.940,0.267,1742.075,180.707,0.036,8.756,0.270,17.051,67.825,0.196,20.009,0.000,5.699,0.031,1.247,0.180,0.221,0.265,7.791,44.803,38.154,4.585,4.408,0.095,16.788,116.551,1728.314,42.245,0.878,31,0,31,69.000
105.881,31.509,33.341,15.603,0.537,16.537,280.191,2.001,0.273,1789.562,189.873,0.560,9.281,0.283,16.907,73.311,0.183,19.053,0.000,5.502,0.019,1.792,0.252,0.049,0.279,8.885,44.501,38.550,4.978,5.088,0.148,16.947,114.981,1752.967,31.086,0.903,32,0,32,46.000
72.509,31.097,32.883,14.165,0.498,11.634,280.391,2.042,0.281,1248.997,139.769,5.092,9.236,0.289,16.505,80.336,0.256,13.022,0.000,5.739,0.019,2.011,0.423,0.122,0.261,6.925,45.294,38.060,4.268,5.324,0.494,15.197,106.376,1228.991,13.343,0.957,33,0,33,42.000
29.225,31.098,32.451,10.689,0.442,4.728,281.210,2.170,0.294,490.937,95.843,23.956,8.622,0.280,16.463,86.912,0.604,6.862,0.000,6.947,0.099,1.252,0.418,0.219,0.231,4.975,46.662,36.721,3.628,4.850,1.737,15.740,135.519,498.609,2.928,0.824,34,0,34,62.000
19.595,32.736,33.492,7.362,0.417,2.675,282.281,2.308,0.302,229.898,98.041,57.818,8.059,0.267,16.157,90.070,0.807,5.079,0.000,7.772,0.327,0.409,0.173,0.150,0.219,4.876,48.691,35.094,3.831,4.303,3.002,17.798,248.105,246.136,0.742,0.668,35,0,35,76.000
17.064,34.566,34.985,5.660,0.411,2.078,282.894,2.364,0.302,159.439,102.376,85.118,7.210,0.257,15.785,89.780,0.674,5.597,0.000,7.155,0.494,0.119,0.035,0.056,0.224,5.046,50.192,34.056,4.135,3.922,3.374,18.818,329.075,172.985,0.545,0.557,36,0,36,108.000
15.328,37.197,37.495,5.371,0.411,1.875,283.003,2.453,0.312,144.848,113.398,95.143,5.671,0.236,15.984,87.346,0.643,7.150,0.000,6.368,0.362,0.553,0.009,0.020,0.245,5.256,50.003,34.117,4.105,3.610,3.715,19.881,254.574,153.010,0.888,0.714,37,0,37,47.000
14.829,40.789,41.128,6.937,0.426,1.576,282.643,2.553,0.324,147.658,143.057,93.346,4.191,0.207,17.073,75.340,0.596,9.361,0.000,5.997,0.147,2.408,0.011,0.056,0.277,4.660,47.929,35.122,3.266,3.094,4.434,18.037,122.233,157.554,1.353,0.780,38,0,38,43.000
14.891,41.219,41.620,8.415,0.441,1.237,282.281,2.483,0.314,145.347,148.601,93.740,3.519,0.199,18.246,62.510,0.473,9.349,0.000,5.606,0.177,3.404,0.015,0.190,0.281,3.302,45.966,35.904,2.562,2.449,4.826,13.877,94.206,163.447,1.333,0.556,39,0,39,103.000
16.339,37.592,38.044,8.373,0.447,1.261,282.131,2.248,0.287,169.135,112.832,100.958,3.110,0.213,18.987,58.028,0.348,7.034,0.000,4.738,0.298,2.256,0.049,0.346,0.267,2.476,45.097,36.059,2.472,2.046,5.106,11.898,99.131,192.510,1.530,0.465,40,0,40,90.000
20.750,33.870,34.367,7.797,0.452,1.709,282.139,2.056,0.269,243.038,85.402,105.039,2.917,0.240,19.329,59.670,0.312,5.708,0.000,4.205,0.393,0.843,0.110,0.334,0.270,2.556,44.634,36.200,2.932,1.927,5.449,13.191,104.101,261.207,2.842,0.588,41,0,41,52.000
25.196,32.180,32.881,7.509,0.431,2.555,282.263,2.036,0.273,355.003,97.764,101.998,3.243,0.282,20.233,58.698,0.757,5.251,0.000,5.543,0.474,0.216,0.087,0.121,0.257,3.016,42.501,37.414,3.558,1.947,6.003,15.984,107.501,365.804,7.873,0.640,42,0,42,nan
30.730,31.597,32.730,7.906,0.412,3.397,282.208,2.057,0.280,428.317,105.186,109.762,4.328,0.301,20.766,58.503,1.417,5.587,0.000,6.297,0.928,0.071,0.020,0.012,0.240,3.231,41.109,38.267,3.777,2.009,6.053,16.399,106.663,440.394,15.716,0.546,43,0,43,81.000
44.281,30.706,32.151,8.495,0.432,5.164,282.013,2.045,0.286,587.314,98.916,123.514,6.013,0.299,20.522,65.792,1.682,7.081,0.000,5.913,1.342,0.084,0.011,0.003,0.256,3.630,41.505,38.123,3.977,2.293,5.789,15.667,105.157,600.057,21.279,0.474,44,0,44,63.000
61.913,29.955,31.480,9.093,0.470,8.248,281.773,2.050,0.301,916.230,100.134,126.543,7.605,0.295,20.367,73.550,1.384,7.226,0.000,6.425,1.070,0.125,0.052,0.025,0.272,4.073,42.026,37.759,4.105,2.851,5.995,14.488,108.244,927.390,19.295,0.500,45,0,45,80.000
70.445,29.951,31.622,10.193,0.505,10.031,281.468,2.082,0.317,1129.284,107.808,122.406,8.705,0.298,19.821,78.824,0.821,6.191,0.000,7.014,0.509,0.156,0.202,0.128,0.273,4.581,43.196,37.125,4.076,3.412,6.375,13.279,111.204,1138.565,12.108,0.493,46,0,46,107.000
65.893,30.299,32.076,11.323,0.528,8.804,281.168,2.136,0.331,998.198,121.977,124.889,9.738,0.308,18.992,83.860,0.339,5.962,0.000,6.385,0.161,0.170,0.397,0.273,0.273,5.632,44.627,36.525,4.382,3.856,6.459,14.972,106.638,1006.345,7.653,0.328,47,0,47,94.000
59.428,30.465,32.174,11.710,0.533,7.326,281.060,2.166,0.336,840.922,131.273,127.843,10.505,0.313,18.723,86.339,0.120,5.862,0.000,5.665,0.073,0.170,0.432,0.312,0.273,6.081,45.057,36.365,4.551,4.295,6.376,16.783,101.737,848.211,6.865,0.287,48,0,48,253.000
46.734,30.443,32.007,11.610,0.533,5.538,281.154,2.172,0.336,660.402,134.796,123.304,11.587,0.304,18.919,87.485,0.052,4.835,0.000,5.699,0.053,0.154,0.452,0.495,0.268,5.937,44.795,36.414,4.226,5.093,6.112,17.901,96.676,667.809,7.002,0.449,49,0,49,60.000
