Annual maxima of daily discharge,Annual maxima of daily precipitation,Annual maxima of daily precipitation and snowmelt,Annual maxima of daily snowmelt,Annual maxima of daily total runoff coefficient,Annual mean of daily discharge,Annual mean of daily near-surface air temperature,Annual mean of daily precipitation,Annual mean of daily total runoff coefficient,Area,Average elevation,Average water capacity,Build-up areas,Circularity,Clay,Confidence,Eolian deposits,Forests,Glaciers,Gravel,Irrigated agriculture,Lakes,Marshes,Peat,River network density,River slopeness,Sand,Silt,Slopeness (average),Soil sealing,Soil texture (dimensionless index from 1 to 13),Steepness (equation),Time of concentration,Total area,Unconsolidated deposits,U-matrix,X,Y,XY,Total events in node
54.252,35.917,37.832,7.392,0.349,8.028,285.758,1.042,0.161,8254.094,790.742,64.967,1.035,0.299,22.294,96.241,0.000,21.023,0.000,5.314,16.149,0.326,0.007,-0.000,0.363,25.108,43.369,34.375,12.985,0.744,3.002,33.498,106.292,8796.800,1.862,0.436,49,11,709,25.000
66.955,37.770,39.705,8.120,0.362,7.934,285.417,1.135,0.166,8784.056,805.284,63.643,0.954,0.297,22.103,95.738,0.000,20.796,0.000,6.000,19.019,0.282,0.007,-0.000,0.372,26.205,43.359,34.558,12.669,0.780,3.286,30.817,111.371,9260.627,3.061,0.665,50,11,710,22.000
125.416,38.764,40.557,8.808,0.376,13.791,284.910,1.330,0.176,9179.580,798.882,66.711,0.857,0.302,22.027,96.901,0.000,25.483,0.000,6.540,24.909,0.248,0.004,-0.000,0.398,28.516,42.861,35.103,13.238,0.814,3.877,37.252,117.009,9548.056,3.717,0.828,51,11,711,13.000
234.843,38.882,40.528,8.283,0.392,22.170,285.100,1.400,0.188,10895.296,764.199,69.269,1.093,0.305,22.201,97.628,0.000,26.112,0.000,6.796,29.439,0.259,0.002,-0.000,0.422,31.730,42.506,35.285,14.010,0.970,4.119,40.517,124.899,11250.136,4.095,0.739,52,11,712,55.000
429.529,39.214,40.754,7.686,0.406,35.030,285.511,1.393,0.195,13509.039,738.931,68.784,1.300,0.303,22.265,97.562,0.000,23.011,0.000,7.012,31.404,0.282,0.001,0.000,0.429,33.467,42.643,35.097,14.120,1.111,4.003,38.713,131.292,13895.932,4.448,0.681,53,11,713,80.000
827.749,39.095,40.569,7.353,0.411,63.225,285.847,1.375,0.198,18983.789,726.134,67.231,1.283,0.301,22.255,97.305,0.002,19.850,0.000,6.895,31.125,0.331,0.003,0.002,0.422,33.260,42.851,34.909,13.856,1.107,3.784,33.562,139.502,19480.170,4.776,0.891,54,11,714,60.000
1642.146,38.234,39.732,7.552,0.414,164.698,285.886,1.376,0.203,33290.094,706.087,65.301,1.140,0.299,21.947,95.905,0.095,17.885,0.001,6.446,28.095,0.611,0.046,0.050,0.403,31.106,43.238,34.818,13.068,1.006,3.485,25.331,152.595,33913.209,5.329,1.917,55,11,715,nan
3817.097,36.891,39.376,13.119,0.512,1049.328,282.748,1.794,0.293,117590.100,553.579,71.693,2.263,0.290,18.674,85.228,2.930,27.682,0.054,6.523,13.928,2.907,0.500,0.582,0.372,30.437,45.648,35.509,10.441,1.558,3.193,13.093,187.432,117734.822,9.338,3.156,56,11,716,nan
5849.873,39.972,43.703,20.387,0.636,2131.369,279.577,2.708,0.438,176583.235,507.653,98.279,5.459,0.294,17.086,84.329,9.416,37.203,0.205,7.559,1.826,2.666,0.550,0.556,0.387,47.476,44.900,37.893,11.632,3.270,4.192,9.039,243.161,176434.718,13.959,2.106,57,11,717,1.000
6499.906,42.220,46.152,21.564,0.652,2276.892,279.583,3.037,0.473,161501.380,561.533,108.519,6.714,0.301,17.881,89.413,11.051,36.215,0.269,7.865,1.244,1.330,0.303,0.221,0.405,55.391,43.387,38.734,13.363,3.984,4.791,10.111,254.638,161490.569,13.954,0.771,58,11,718,11.000
6731.914,42.840,46.830,21.834,0.655,2296.864,279.619,3.131,0.482,153830.704,576.623,110.728,7.066,0.304,18.087,90.822,11.191,35.906,0.287,7.951,1.271,1.001,0.224,0.123,0.410,56.859,43.080,38.866,13.816,4.193,4.934,10.519,253.210,153849.384,13.659,0.541,59,11,719,150.000
120.057,26.263,33.581,27.891,0.868,43.386,273.262,2.028,0.507,3297.435,362.672,140.692,0.137,0.279,6.050,66.579,0.000,56.857,0.002,2.729,0.001,12.365,5.485,0.002,0.305,8.924,67.168,26.794,5.752,0.084,3.018,14.908,397.907,3286.477,0.689,0.429,0,12,720,55.000
115.864,26.468,34.054,28.230,0.870,41.080,273.545,2.061,0.503,3130.689,355.025,134.247,0.170,0.279,6.114,67.702,0.000,58.432,0.002,2.763,0.001,12.171,5.155,0.002,0.308,8.783,67.068,26.819,5.854,0.097,3.015,14.459,419.003,3126.724,0.631,0.575,1,12,721,1.000
96.334,27.612,35.309,28.707,0.869,31.279,274.322,2.155,0.495,2418.892,336.149,125.587,0.214,0.281,6.419,72.844,0.000,63.151,0.006,2.906,0.001,10.440,4.354,0.004,0.314,9.359,66.526,27.038,6.379,0.125,2.915,15.958,600.701,2423.155,1.234,1.100,2,12,722,1.000
58.615,30.449,37.043,27.602,0.833,13.453,275.449,2.258,0.496,1112.473,314.644,136.035,0.187,0.293,7.183,84.896,0.000,71.571,0.002,3.188,0.000,5.622,3.406,0.017,0.322,13.244,65.129,27.678,8.279,0.129,2.533,28.591,1068.620,1106.938,3.357,1.223,3,12,723,nan
49.991,32.362,38.350,27.432,0.806,9.631,275.555,2.357,0.505,770.327,337.572,141.247,0.229,0.293,7.449,89.710,0.000,72.390,0.000,3.423,0.000,4.121,2.692,0.033,0.327,17.722,64.441,28.121,10.057,0.110,2.371,40.073,1133.175,764.533,3.095,0.637,4,12,724,nan
45.841,33.887,39.402,27.482,0.787,7.808,275.542,2.434,0.512,582.375,358.106,143.182,0.283,0.290,7.563,91.988,0.002,72.007,0.000,3.648,0.000,3.300,2.132,0.044,0.328,20.913,64.009,28.454,11.192,0.100,2.303,47.517,1115.714,579.182,2.470,0.642,5,12,725,50.000
43.342,34.660,39.532,26.548,0.758,7.057,275.598,2.394,0.504,523.833,337.279,140.844,0.313,0.281,7.493,87.875,0.036,71.672,0.000,3.994,0.000,2.848,2.146,0.046,0.318,19.516,63.974,28.555,10.330,0.113,2.436,44.497,1008.427,524.297,1.890,1.031,6,12,726,1.000
35.072,32.705,37.256,24.353,0.729,5.728,275.630,2.127,0.474,481.422,219.052,127.013,0.272,0.254,7.290,71.421,0.219,72.544,0.000,5.473,0.000,2.341,2.985,0.048,0.290,9.828,64.533,28.184,5.876,0.135,2.838,25.289,724.244,484.617,1.427,1.068,7,12,727,3.000
22.047,29.255,34.841,24.803,0.776,3.093,275.071,1.952,0.475,277.158,148.837,111.890,0.279,0.237,7.299,65.486,0.296,73.432,0.000,8.824,0.000,1.653,2.984,0.052,0.293,5.537,64.926,27.797,3.410,0.114,2.531,17.253,581.353,279.967,1.674,0.826,8,12,728,17.000
13.115,26.748,33.306,26.018,0.838,1.697,273.985,1.857,0.488,151.917,140.659,100.416,0.348,0.224,7.299,66.189,0.163,73.305,0.000,12.823,0.000,1.245,2.581,0.040,0.329,5.626,64.911,27.798,2.335,0.087,1.862,14.452,479.777,152.920,1.859,0.692,9,12,729,6.000
13.364,25.861,33.957,27.848,0.879,2.401,273.288,1.849,0.494,197.727,156.695,88.099,0.466,0.210,7.589,66.789,0.042,72.609,0.000,14.715,0.000,1.360,2.660,0.024,0.368,6.027,64.227,28.148,1.933,0.117,1.700,11.061,356.962,189.540,2.340,0.829,10,12,730,34.000
26.694,26.830,38.646,31.888,0.913,5.875,274.518,2.046,0.480,466.333,178.625,60.848,0.891,0.225,7.714,70.271,0.005,71.817,0.000,11.977,0.000,2.575,2.642,0.015,0.365,5.807,64.694,27.548,2.582,0.292,2.501,9.269,273.771,431.891,5.777,1.042,11,12,731,2.000
37.964,27.976,42.948,34.780,0.932,8.399,276.673,2.305,0.456,665.431,193.885,30.908,1.358,0.254,7.574,75.757,0.000,70.778,0.000,7.780,0.000,3.702,2.089,0.007,0.331,5.380,66.207,26.207,3.536,0.502,3.388,9.823,277.915,611.034,11.134,0.922,12,12,732,5.000
44.913,28.381,43.389,34.131,0.913,8.598,277.685,2.423,0.451,636.568,178.024,16.983,1.442,0.255,8.425,79.841,-0.000,70.544,0.000,5.103,0.000,3.797,1.955,0.001,0.306,5.329,64.726,26.854,4.584,0.533,3.491,12.545,343.810,603.341,16.596,0.857,13,12,733,nan
65.318,29.438,43.738,33.537,0.876,10.214,278.087,2.476,0.466,625.240,140.733,5.135,1.426,0.238,10.845,83.911,-0.000,70.802,0.000,1.603,0.000,3.557,2.623,0.000,0.283,5.620,59.280,29.878,6.260,0.407,3.192,16.184,415.665,624.171,23.971,0.677,14,12,734,nan
72.009,30.206,42.260,31.315,0.845,11.086,278.168,2.455,0.468,645.268,135.926,2.698,1.234,0.234,11.652,82.026,-0.000,69.778,0.000,0.889,0.000,3.740,3.009,0.000,0.284,5.807,57.323,31.019,6.217,0.325,3.158,15.244,418.969,652.243,26.635,0.385,15,12,735,38.000
70.454,30.665,39.694,27.895,0.806,11.087,278.220,2.401,0.462,647.125,140.550,4.165,0.985,0.235,11.817,78.010,0.000,68.096,0.000,1.314,0.000,4.059,3.132,0.001,0.293,5.927,56.777,31.389,5.559,0.277,3.253,13.137,405.679,658.317,27.986,0.387,16,12,736,76.000
64.686,30.668,36.971,24.291,0.753,10.711,278.310,2.296,0.441,703.493,144.739,9.987,0.822,0.234,12.025,73.343,0.001,65.411,0.000,2.226,0.001,4.108,2.902,0.014,0.298,5.957,56.237,31.721,4.897,0.263,3.422,11.885,390.519,720.535,29.289,0.702,17,12,737,3.000
89.260,29.498,33.423,20.153,0.658,20.195,278.496,1.989,0.362,2396.055,158.077,43.671,0.720,0.236,12.995,62.539,0.009,60.019,0.000,4.966,0.005,3.177,2.097,0.187,0.294,5.457,54.034,32.962,4.193,0.270,3.612,12.446,354.941,2444.929,25.958,1.242,18,12,738,nan
189.682,29.386,32.013,17.673,0.577,46.910,278.640,1.744,0.285,6476.528,196.149,77.903,0.545,0.259,13.864,53.479,0.026,60.058,0.000,8.299,0.008,2.821,2.061,0.480,0.296,5.198,51.482,34.613,4.310,0.204,3.282,13.836,285.640,6559.271,15.568,1.119,19,12,739,nan
231.316,30.194,32.275,16.229,0.527,53.835,278.746,1.723,0.265,7575.964,210.059,74.097,0.442,0.279,13.711,55.198,0.039,62.889,0.000,9.931,0.007,3.023,2.272,0.521,0.294,5.275,51.606,34.625,4.601,0.172,3.023,14.659,246.482,7616.357,12.357,0.965,20,12,740,nan
209.438,30.170,31.811,13.667,0.447,44.277,279.008,1.706,0.233,6311.051,190.963,60.409,0.413,0.300,13.341,62.571,0.113,66.494,0.000,11.972,0.016,2.554,1.960,0.422,0.261,4.643,52.954,33.631,4.642,0.178,2.892,16.505,238.398,6284.169,13.174,1.163,21,12,741,2.000
133.373,29.363,30.589,10.147,0.359,25.263,279.702,1.726,0.194,3630.927,150.345,45.881,0.632,0.324,12.954,74.184,0.464,68.816,0.000,13.695,0.073,1.481,1.079,0.228,0.208,3.550,54.798,32.153,4.433,0.287,2.819,18.820,243.869,3593.071,16.349,1.215,22,12,742,nan
69.422,29.883,30.831,8.227,0.336,11.621,280.902,1.852,0.205,1667.221,129.966,59.453,1.660,0.322,12.627,80.168,0.983,57.031,0.000,11.172,0.193,0.726,0.284,0.095,0.200,4.143,56.221,31.105,4.088,0.687,2.762,17.993,197.588,1668.929,16.306,1.205,23,12,743,1.000
37.978,31.855,32.809,9.290,0.389,5.725,281.353,1.978,0.260,798.964,126.060,94.134,3.510,0.322,11.812,82.390,0.650,33.299,0.000,6.854,0.284,0.460,0.044,0.085,0.231,6.047,58.800,29.417,4.385,1.354,2.375,18.587,111.157,810.691,9.595,1.092,24,12,744,8.000
47.913,33.388,34.677,11.949,0.464,6.914,280.888,2.042,0.291,866.614,178.960,87.126,4.550,0.331,12.159,86.112,0.177,25.140,0.000,5.376,0.278,0.254,0.027,0.068,0.264,7.395,57.885,30.008,5.240,2.006,1.690,19.484,86.802,870.615,5.872,1.333,25,12,745,nan
138.000,34.966,37.495,17.513,0.586,23.136,279.942,2.161,0.317,2762.035,350.910,29.969,4.782,0.330,14.967,93.264,0.088,33.352,0.000,5.285,0.160,0.221,0.029,0.022,0.320,11.727,50.032,35.059,7.685,2.767,0.705,16.943,109.073,2760.881,6.505,1.227,26,12,746,nan
209.103,35.325,38.655,20.397,0.659,38.426,279.544,2.266,0.339,4564.070,425.488,2.849,5.043,0.332,16.652,96.806,0.094,38.947,0.000,6.209,0.087,0.218,0.027,0.003,0.350,14.300,45.498,37.912,9.527,3.215,0.330,14.552,124.706,4562.519,7.091,0.394,27,12,747,nan
235.109,35.259,38.632,20.546,0.668,44.838,279.548,2.290,0.345,5308.581,422.160,0.191,5.247,0.333,16.969,97.186,0.096,39.872,0.000,6.818,0.069,0.211,0.026,0.002,0.355,14.494,44.669,38.424,9.911,3.377,0.306,13.560,128.187,5308.017,7.383,0.150,28,12,748,198.000
256.282,35.294,38.482,20.012,0.658,49.620,279.610,2.288,0.344,5802.702,410.864,0.550,5.364,0.331,17.149,97.054,0.098,39.151,0.000,7.269,0.064,0.220,0.071,0.023,0.356,14.301,44.288,38.624,9.812,3.438,0.327,13.235,129.601,5803.606,7.792,0.275,29,12,749,15.000
262.697,34.969,37.892,18.809,0.637,51.253,279.756,2.344,0.357,5702.247,366.298,10.859,5.035,0.324,17.413,95.444,0.088,33.447,0.000,8.117,0.055,0.372,1.255,0.283,0.358,13.361,44.074,38.566,8.997,3.255,0.725,14.465,127.607,5707.377,7.602,1.276,30,12,750,nan
142.808,32.789,35.356,15.043,0.574,30.766,280.372,2.704,0.438,2150.965,157.279,92.396,2.138,0.292,18.394,81.588,0.018,9.163,0.000,9.242,0.011,1.364,11.873,0.763,0.339,7.296,44.952,36.661,5.003,1.892,2.957,17.110,118.501,2170.772,4.829,1.525,31,12,751,nan
101.702,32.589,34.891,13.445,0.538,24.861,280.654,2.775,0.451,1184.111,98.644,129.844,1.219,0.277,19.048,74.633,0.001,3.645,0.000,8.463,0.000,1.673,16.787,0.275,0.318,4.691,45.048,35.884,3.539,1.493,3.532,14.768,122.541,1206.452,5.115,0.665,32,12,752,nan
98.382,32.718,34.935,13.006,0.530,24.298,280.721,2.758,0.448,1171.288,95.483,136.184,1.189,0.274,19.109,73.445,0.000,3.590,0.000,8.016,0.000,1.601,16.508,0.078,0.311,4.489,44.980,35.879,3.365,1.491,3.588,14.060,124.665,1191.066,5.898,0.351,33,12,753,319.000
97.334,32.794,34.932,12.504,0.524,23.534,280.778,2.724,0.444,1213.926,99.124,137.772,1.235,0.272,18.965,73.110,0.004,3.803,0.000,7.664,0.006,1.410,14.435,0.022,0.306,4.785,44.935,36.050,3.355,1.521,3.664,14.168,125.573,1229.351,7.020,0.452,34,12,754,nan
99.688,33.140,35.320,12.112,0.517,22.095,280.978,2.606,0.428,1684.485,173.324,132.338,1.240,0.270,18.866,74.238,0.132,5.120,0.000,7.068,0.228,1.084,10.676,0.011,0.305,6.252,44.897,36.175,3.676,1.484,3.650,15.752,125.558,1697.992,8.602,0.903,35,12,755,nan
150.885,34.736,37.366,12.807,0.492,22.517,282.153,1.949,0.328,7520.049,730.105,85.265,0.808,0.268,19.939,84.804,1.156,14.052,0.000,5.202,2.454,0.397,2.289,0.006,0.328,14.771,44.701,35.355,6.207,0.920,2.746,24.997,126.112,7558.412,10.677,1.089,36,12,756,2.000
196.363,34.222,36.652,12.328,0.451,27.973,282.699,1.639,0.265,12063.968,923.894,68.281,0.625,0.269,20.529,89.210,1.418,17.640,0.000,4.700,3.789,0.235,0.105,0.001,0.337,17.512,44.514,34.972,7.373,0.693,2.391,27.152,129.222,12109.814,10.807,0.404,37,12,757,3.000
193.346,33.064,35.210,11.186,0.413,26.714,283.104,1.507,0.230,11685.345,910.136,67.432,0.594,0.271,20.699,90.697,1.133,17.692,0.000,4.680,4.070,0.245,0.038,0.000,0.336,17.224,44.427,34.890,7.840,0.653,2.375,27.719,124.698,11730.294,9.908,0.312,38,12,758,195.000
152.041,31.689,33.395,9.165,0.370,17.712,283.957,1.347,0.190,7641.303,833.263,67.459,0.652,0.277,20.851,92.908,0.620,16.219,0.000,4.617,3.854,0.269,0.031,0.002,0.331,16.053,44.354,34.816,8.211,0.664,2.369,28.955,113.209,7682.489,7.519,0.392,39,12,759,61.000
104.391,30.576,31.714,6.651,0.340,8.234,285.025,1.237,0.163,3373.286,681.476,68.708,0.975,0.289,20.889,95.070,0.234,13.261,0.000,4.688,3.136,0.271,0.016,0.013,0.319,13.535,44.306,34.839,7.800,0.821,2.462,27.843,108.920,3406.685,4.187,0.555,40,12,760,67.000
69.638,30.727,31.376,5.075,0.348,4.027,285.235,1.385,0.177,1335.224,458.182,76.710,1.744,0.304,20.362,95.830,0.394,10.251,0.000,5.419,1.878,0.214,0.004,0.037,0.303,9.963,44.633,35.078,6.381,1.226,3.048,23.589,133.907,1366.834,1.969,0.787,41,12,761,23.000
46.306,31.872,32.222,4.955,0.377,3.148,284.315,1.748,0.222,645.721,252.099,88.849,2.663,0.318,19.423,95.320,0.801,8.162,0.000,6.454,0.778,0.149,0.001,0.043,0.286,6.796,45.173,35.525,4.945,1.732,4.010,18.835,173.822,671.588,1.237,0.704,42,12,762,6.000
58.485,32.871,33.267,5.726,0.396,7.506,283.600,1.928,0.251,2483.959,227.106,94.907,3.137,0.323,19.270,95.082,0.755,8.012,0.000,6.705,1.120,0.152,0.004,0.028,0.283,6.712,45.009,35.848,4.838,1.998,4.516,17.220,174.887,2497.385,1.608,0.743,43,12,763,8.000
177.453,34.310,35.372,7.672,0.414,31.672,283.849,1.664,0.249,13113.561,561.773,81.226,2.914,0.308,20.100,95.488,0.242,14.020,0.000,6.213,5.208,0.357,0.015,0.007,0.308,13.796,44.720,35.239,7.766,1.864,3.873,21.768,148.542,13090.600,3.308,0.994,44,12,764,nan
200.175,35.862,37.357,8.165,0.421,36.970,284.751,1.376,0.224,15474.602,788.916,66.276,2.221,0.296,20.739,95.711,0.019,20.586,0.000,5.825,8.607,0.468,0.016,0.000,0.332,19.969,44.910,34.368,10.813,1.435,2.943,35.118,127.100,15385.218,3.670,0.569,45,12,765,23.000
122.871,37.140,38.711,7.580,0.414,23.236,285.442,1.286,0.203,9715.749,790.239,65.753,1.640,0.295,21.250,96.095,0.002,23.499,0.000,5.481,9.887,0.415,0.008,0.000,0.344,22.824,44.664,34.105,12.624,1.049,2.549,47.500,106.731,9616.528,2.714,0.407,46,12,766,53.000
72.605,38.093,39.861,7.566,0.403,14.440,285.760,1.223,0.188,6508.518,788.028,68.928,1.215,0.299,21.852,96.765,0.000,24.582,0.000,5.075,11.457,0.372,0.003,-0.000,0.354,25.427,44.050,34.127,13.950,0.770,2.445,50.923,96.275,6562.196,1.645,0.397,47,12,767,56.000
58.463,38.892,41.006,8.178,0.400,10.896,285.751,1.187,0.183,6245.666,793.582,69.148,1.049,0.301,22.201,97.132,0.001,23.740,0.000,4.906,13.552,0.351,0.003,-0.000,0.360,26.065,43.621,34.216,13.994,0.688,2.654,45.100,96.365,6583.385,1.184,0.434,48,12,768,21.000
60.685,40.673,43.013,8.741,0.413,8.455,285.675,1.217,0.189,7003.817,785.156,67.367,1.154,0.300,22.163,96.667,0.002,22.282,0.000,5.129,15.724,0.329,0.005,-0.000,0.369,26.062,43.645,34.229,13.395,0.788,2.957,38.771,101.835,7476.129,1.837,0.519,49,12,769,31.000
73.501,43.597,45.878,9.360,0.434,7.599,285.364,1.354,0.204,7264.992,769.368,67.144,1.232,0.300,21.803,95.949,0.004,22.917,0.000,5.815,18.428,0.282,0.006,0.000,0.387,28.198,43.829,34.390,13.127,0.913,3.251,36.931,113.500,7648.478,3.171,0.685,50,12,770,19.000
115.394,45.729,47.660,9.610,0.445,10.548,284.810,1.554,0.218,6593.341,719.845,72.503,1.331,0.304,21.444,96.637,0.002,29.341,0.000,6.471,22.686,0.212,0.003,0.000,0.420,29.948,43.662,34.883,13.394,1.010,3.750,42.711,139.693,6864.246,3.736,0.786,51,12,771,12.000
246.595,45.044,46.755,9.065,0.448,20.818,284.800,1.613,0.224,8799.870,674.464,76.371,1.520,0.305,21.549,97.371,0.001,32.304,0.000,6.724,26.053,0.206,0.002,0.000,0.442,30.129,43.282,35.149,13.737,1.074,4.003,45.128,156.486,9092.102,4.043,0.712,52,12,772,30.000
547.336,43.406,45.079,8.522,0.450,44.811,285.159,1.565,0.227,14635.435,669.707,73.798,1.555,0.302,21.689,97.203,0.005,28.417,0.000,6.830,27.116,0.264,0.005,0.000,0.441,30.813,43.301,35.005,13.657,1.101,3.811,39.922,154.380,15029.002,4.739,0.831,53,12,773,73.000
1185.472,41.459,43.177,8.453,0.444,100.442,285.407,1.516,0.227,25696.265,686.928,68.676,1.356,0.298,21.701,96.156,0.015,22.682,0.000,6.543,25.417,0.364,0.016,0.002,0.422,30.898,43.361,34.950,13.094,1.037,3.479,30.315,156.324,26218.219,5.448,1.339,54,12,774,10.000
2328.275,39.583,41.437,9.190,0.439,225.821,285.174,1.524,0.235,44953.747,692.823,62.591,1.171,0.295,21.310,93.450,0.073,18.292,0.001,5.907,20.185,0.522,0.049,0.055,0.391,29.411,43.552,35.159,11.821,0.988,3.090,19.116,173.355,45523.020,6.238,1.886,55,12,775,nan
4029.677,38.374,40.514,12.272,0.485,671.970,283.370,1.760,0.283,90656.550,601.602,56.079,2.090,0.289,19.239,86.370,1.363,20.944,0.030,5.766,10.817,0.873,0.163,0.470,0.357,27.559,45.275,35.499,9.731,1.530,2.629,11.016,216.411,90976.977,8.910,2.141,56,12,776,1.000
5533.274,40.669,43.951,19.305,0.609,1697.833,280.237,2.666,0.419,144575.578,537.471,82.976,5.245,0.294,17.402,85.014,7.748,32.170,0.206,7.124,2.270,1.082,0.267,0.570,0.379,45.521,45.168,37.448,11.506,3.244,3.681,9.574,264.339,144606.128,13.209,1.965,57,12,777,4.000
5933.202,43.054,47.059,21.939,0.653,2041.480,279.567,3.129,0.480,143290.546,595.344,105.783,6.573,0.303,17.879,89.795,10.758,35.499,0.305,7.782,1.231,0.957,0.226,0.193,0.411,58.901,43.498,38.658,13.967,3.957,4.674,10.672,264.478,143314.609,13.589,0.814,58,12,778,nan
6019.756,43.588,47.740,22.368,0.660,2087.222,279.500,3.218,0.491,139981.364,612.143,110.161,6.808,0.305,18.033,90.984,11.181,35.931,0.324,7.894,1.209,0.921,0.207,0.096,0.418,61.392,43.148,38.858,14.493,4.087,4.869,10.972,261.906,140007.714,13.454,0.567,59,12,779,123.000
228.172,27.172,36.398,30.366,0.871,85.354,272.414,2.103,0.542,6226.500,424.285,138.649,0.140,0.274,6.080,64.040,0.002,51.681,0.004,3.254,0.000,12.891,7.542,0.057,0.303,10.743,66.681,27.249,5.936,0.082,2.993,15.549,430.434,6187.220,0.335,0.522,0,13,780,44.000
218.405,27.277,36.543,30.538,0.873,80.804,272.581,2.115,0.540,5912.809,418.923,136.432,0.153,0.274,6.101,64.990,0.002,52.714,0.004,3.240,0.000,12.565,7.313,0.054,0.304,10.663,66.648,27.256,5.962,0.088,2.989,15.380,439.675,5877.702,0.317,0.646,1,13,781,nan
158.895,28.366,36.768,30.757,0.879,53.038,273.581,2.163,0.524,3995.457,386.635,131.930,0.207,0.275,6.243,71.755,0.001,59.651,0.006,3.100,0.000,9.826,6.044,0.040,0.305,10.646,66.366,27.370,6.088,0.121,2.917,15.810,524.092,3975.919,0.349,0.979,2,13,782,nan
80.031,31.031,37.636,29.807,0.861,18.469,275.042,2.275,0.510,1541.663,350.278,136.701,0.266,0.283,6.696,83.242,0.000,70.265,0.002,3.095,0.000,5.637,4.003,0.033,0.311,13.839,65.574,27.699,7.823,0.140,2.557,26.971,752.015,1542.018,0.867,1.273,3,13,783,3.000
57.772,33.889,39.979,29.358,0.824,11.287,275.397,2.478,0.526,902.682,379.533,142.957,0.300,0.294,7.223,89.558,0.000,72.035,0.000,3.601,0.000,4.302,2.772,0.048,0.323,20.789,64.515,28.265,11.056,0.115,2.101,46.619,893.264,925.051,1.205,1.047,4,13,784,nan
49.723,35.758,41.240,28.666,0.788,9.386,275.533,2.569,0.531,715.591,394.662,145.035,0.330,0.298,7.441,91.444,0.002,72.041,0.000,3.947,0.000,3.984,2.226,0.058,0.326,23.890,64.030,28.548,12.362,0.109,1.912,54.994,887.763,768.762,1.268,1.091,5,13,785,nan
53.295,36.113,40.167,25.622,0.722,11.983,275.693,2.410,0.499,1000.554,346.223,141.502,0.344,0.286,7.217,85.989,0.023,72.148,0.000,3.847,0.000,4.727,2.677,0.055,0.311,18.439,64.619,28.165,9.856,0.143,2.226,41.369,727.120,1086.828,1.329,1.206,6,13,786,1.000
56.805,35.084,38.030,22.241,0.663,14.262,275.754,2.167,0.457,1271.879,267.084,133.141,0.332,0.265,7.037,77.173,0.107,72.546,0.000,3.889,0.001,5.052,3.448,0.054,0.294,10.092,65.247,27.696,6.199,0.175,2.738,21.964,564.330,1349.919,1.348,0.959,7,13,787,16.000
42.781,32.678,36.226,22.464,0.695,10.339,275.405,2.029,0.456,939.701,210.009,121.703,0.318,0.247,7.260,71.511,0.197,72.888,0.000,5.984,0.000,3.958,3.442,0.061,0.298,6.782,64.989,27.740,4.555,0.160,2.759,16.818,506.896,978.407,1.526,1.018,8,13,788,nan
20.303,28.825,33.868,24.768,0.796,4.216,274.140,1.877,0.478,388.035,165.715,105.351,0.286,0.228,7.531,67.073,0.132,72.767,0.000,10.888,0.000,2.651,3.283,0.089,0.336,5.841,64.233,28.214,3.006,0.111,2.282,14.391,392.592,393.112,2.430,1.075,9,13,789,1.000
12.437,26.354,32.592,26.362,0.861,2.170,273.220,1.786,0.491,191.111,141.005,90.302,0.204,0.226,7.613,64.100,0.027,72.964,0.000,13.058,0.000,2.941,3.940,0.135,0.372,5.438,63.589,28.742,2.017,0.090,2.318,11.628,238.369,180.678,5.451,0.999,10,13,790,nan
15.463,25.876,33.424,27.606,0.881,2.849,273.694,1.807,0.485,245.259,125.066,75.881,0.278,0.247,7.395,64.204,0.002,73.291,0.000,11.404,0.000,4.157,4.483,0.147,0.368,5.024,64.008,28.542,2.067,0.140,2.947,12.375,157.787,221.347,9.950,0.895,11,13,791,nan
21.069,26.197,36.202,29.397,0.890,4.107,274.745,1.917,0.467,362.434,133.739,57.462,0.568,0.267,7.079,68.763,0.000,71.440,0.000,9.434,0.000,4.505,4.035,0.105,0.355,5.734,65.280,27.621,2.706,0.242,3.271,19.111,153.857,323.920,15.718,0.985,12,13,792,nan
35.690,27.236,40.907,32.181,0.889,6.190,275.948,2.137,0.456,479.700,151.862,33.132,0.839,0.267,7.761,77.835,-0.000,68.213,0.000,6.951,0.000,3.900,3.229,0.030,0.342,7.465,64.664,27.602,4.086,0.304,2.995,29.559,228.995,456.590,24.164,1.285,13,13,793,1.000
67.794,29.377,46.751,36.863,0.894,10.571,277.434,2.423,0.474,640.736,144.495,9.994,0.911,0.244,10.670,81.726,-0.000,68.816,0.000,2.246,0.000,3.841,3.632,0.001,0.304,6.456,59.048,30.284,5.494,0.273,2.999,19.471,348.128,646.125,26.647,0.981,14,13,794,nan
74.691,30.497,45.787,35.068,0.870,11.681,277.951,2.472,0.477,676.442,143.681,4.509,0.822,0.236,11.682,80.219,0.000,68.886,0.000,0.959,0.000,4.074,4.035,0.000,0.295,5.848,56.993,31.306,5.551,0.242,3.115,13.194,372.968,687.379,26.608,0.516,15,13,795,10.000
