xy_id,som_key,lon,lat
9670,273,142625.0,464125.0
9671,762,142875.0,464125.0
9672,702,143125.0,464125.0
9673,92,143375.0,464125.0
9674,153,143625.0,464125.0
9852,2280,120125.0,463875.0
9853,30,120375.0,463875.0
9854,1868,120625.0,463875.0
9855,1240,120875.0,463875.0
9856,1929,121125.0,463875.0
9857,2340,121375.0,463875.0
9858,2340,121625.0,463875.0
9859,2340,121875.0,463875.0
9860,2343,122125.0,463875.0
9861,2403,122375.0,463875.0
9862,2463,122625.0,463875.0
9863,2463,122875.0,463875.0
9864,2460,123125.0,463875.0
9865,2460,123375.0,463875.0
9866,2461,123625.0,463875.0
9867,2580,123875.0,463875.0
9875,2246,125875.0,463875.0
9876,2928,126125.0,463875.0
9877,2990,126375.0,463875.0
9878,2722,126625.0,463875.0
9879,2972,126875.0,463875.0
9880,2973,127125.0,463875.0
9881,2602,127375.0,463875.0
9882,2356,127625.0,463875.0
9883,2047,127875.0,463875.0
9884,1446,128125.0,463875.0
9928,2276,139125.0,463875.0
9929,2277,139375.0,463875.0
9930,2024,139625.0,463875.0
9931,1904,139875.0,463875.0
9932,1780,140125.0,463875.0
9933,1719,140375.0,463875.0
9934,1658,140625.0,463875.0
9935,1658,140875.0,463875.0
9936,269,141125.0,463875.0
9937,269,141375.0,463875.0
9938,330,141625.0,463875.0
9939,514,141875.0,463875.0
9940,514,142125.0,463875.0
9941,883,142375.0,463875.0
9942,516,142625.0,463875.0
9943,515,142875.0,463875.0
9944,517,143125.0,463875.0
9945,458,143375.0,463875.0
9946,457,143625.0,463875.0
10121,2002,119375.0,463625.0
10122,2703,119625.0,463625.0
10123,2642,119875.0,463625.0
10124,29,120125.0,463625.0
10125,29,120375.0,463625.0
10126,2161,120625.0,463625.0
10127,2280,120875.0,463625.0
10128,2280,121125.0,463625.0
10129,2280,121375.0,463625.0
10130,2340,121625.0,463625.0
10131,2340,121875.0,463625.0
10132,2342,122125.0,463625.0
10133,2524,122375.0,463625.0
10134,2402,122625.0,463625.0
10135,2403,122875.0,463625.0
10136,2524,123125.0,463625.0
10137,2581,123375.0,463625.0
10138,2522,123625.0,463625.0
10139,2644,123875.0,463625.0
10144,2910,125125.0,463625.0
10145,2476,125375.0,463625.0
10146,2318,125625.0,463625.0
10147,2245,125875.0,463625.0
10148,2988,126125.0,463625.0
10149,2416,126375.0,463625.0
10150,2294,126625.0,463625.0
10151,2722,126875.0,463625.0
10152,2981,127125.0,463625.0
10153,2791,127375.0,463625.0
10154,2602,127625.0,463625.0
10155,2046,127875.0,463625.0
10156,1568,128125.0,463625.0
10200,2277,139125.0,463625.0
10201,2214,139375.0,463625.0
10202,1964,139625.0,463625.0
10203,1902,139875.0,463625.0
10204,1721,140125.0,463625.0
10205,1718,140375.0,463625.0
10206,1658,140625.0,463625.0
10207,1598,140875.0,463625.0
10208,269,141125.0,463625.0
10209,330,141375.0,463625.0
10210,331,141625.0,463625.0
10211,883,141875.0,463625.0
10212,515,142125.0,463625.0
10213,152,142375.0,463625.0
10214,822,142625.0,463625.0
10215,763,142875.0,463625.0
10216,393,143125.0,463625.0
10217,273,143375.0,463625.0
10218,581,143625.0,463625.0
10392,2280,119125.0,463375.0
10393,2063,119375.0,463375.0
10394,2644,119625.0,463375.0
10395,2642,119875.0,463375.0
10396,2341,120125.0,463375.0
10397,2341,120375.0,463375.0
10398,2340,120625.0,463375.0
10399,2340,120875.0,463375.0
10400,2522,121125.0,463375.0
10401,2461,121375.0,463375.0
10402,2401,121625.0,463375.0
10403,2341,121875.0,463375.0
10404,2340,122125.0,463375.0
10405,2705,122375.0,463375.0
10406,2959,122625.0,463375.0
10407,2522,122875.0,463375.0
10408,2767,123125.0,463375.0
10409,2463,123375.0,463375.0
10410,2584,123625.0,463375.0
10411,2464,123875.0,463375.0
10412,2344,124125.0,463375.0
10414,2768,124625.0,463375.0
10415,2768,124875.0,463375.0
10416,2910,125125.0,463375.0
10417,2652,125375.0,463375.0
10418,2910,125625.0,463375.0
10419,2849,125875.0,463375.0
10420,2601,126125.0,463375.0
10421,2602,126375.0,463375.0
10422,2416,126625.0,463375.0
10423,2416,126875.0,463375.0
10424,2662,127125.0,463375.0
10425,2851,127375.0,463375.0
10426,2790,127625.0,463375.0
10427,2663,127875.0,463375.0
10428,2176,128125.0,463375.0
10429,2224,128375.0,463375.0
10471,2933,138875.0,463375.0
10472,2277,139125.0,463375.0
10473,2153,139375.0,463375.0
10474,2152,139625.0,463375.0
10475,1841,139875.0,463375.0
10476,1661,140125.0,463375.0
10477,314,140375.0,463375.0
10478,314,140625.0,463375.0
10479,314,140875.0,463375.0
10480,329,141125.0,463375.0
10481,314,141375.0,463375.0
10482,271,141625.0,463375.0
10483,272,141875.0,463375.0
10484,212,142125.0,463375.0
10485,456,142375.0,463375.0
10486,823,142625.0,463375.0
10487,516,142875.0,463375.0
10488,456,143125.0,463375.0
10489,515,143375.0,463375.0
10490,763,143625.0,463375.0
10661,2996,118375.0,463125.0
10662,2245,118625.0,463125.0
10663,2405,118875.0,463125.0
10664,2107,119125.0,463125.0
10665,1869,119375.0,463125.0
10666,2523,119625.0,463125.0
10667,2462,119875.0,463125.0
10668,2340,120125.0,463125.0
10669,2340,120375.0,463125.0
10670,2340,120625.0,463125.0
10671,2340,120875.0,463125.0
10672,2401,121125.0,463125.0
10673,2340,121375.0,463125.0
10674,2462,121625.0,463125.0
10675,2402,121875.0,463125.0
10676,2400,122125.0,463125.0
10677,2760,122375.0,463125.0
10678,2996,122625.0,463125.0
10679,2521,122875.0,463125.0
10680,2901,123125.0,463125.0
10681,2463,123375.0,463125.0
10682,2343,123625.0,463125.0
10683,2402,123875.0,463125.0
10684,2769,124125.0,463125.0
10685,2645,124375.0,463125.0
10686,2768,124625.0,463125.0
10687,2709,124875.0,463125.0
10688,2851,125125.0,463125.0
10689,2722,125375.0,463125.0
10690,2722,125625.0,463125.0
10691,2782,125875.0,463125.0
10692,2851,126125.0,463125.0
10693,2662,126375.0,463125.0
10694,2662,126625.0,463125.0
10695,2416,126875.0,463125.0
10696,2662,127125.0,463125.0
10697,2722,127375.0,463125.0
10698,2805,127625.0,463125.0
10699,2919,127875.0,463125.0
10700,2487,128125.0,463125.0
10701,2294,128375.0,463125.0
10743,2992,138875.0,463125.0
10744,2934,139125.0,463125.0
10745,2277,139375.0,463125.0
10746,2152,139625.0,463125.0
10747,1781,139875.0,463125.0
