,WSO1_ID,station,som_key,Country,lon,lat
0,881297,polmak,1690,Norway,28.016007735370025,70.07034472984779
4,881297,polmak,1629,Norway,28.016007735370025,70.07034472984779
33,881297,polmak,1630,Norway,28.016007735370025,70.07034472984779
48,882594,karpelv,1506,Norway,30.38412065429519,69.65991119424054
50,882594,karpelv,1505,Norway,30.38412065429519,69.65991119424054
56,882594,karpelv,1565,Norway,30.38412065429519,69.65991119424054
84,882594,karpelv,2282,Norway,30.38412065429519,69.65991119424054
87,882594,karpelv,2343,Norway,30.38412065429519,69.65991119424054
96,1059001,manndalen_bru,2583,Norway,20.52561920584574,69.52389132263326
97,1059001,manndalen_bru,2174,Norway,20.52561920584574,69.52389132263326
98,1059001,manndalen_bru,2113,Norway,20.52561920584574,69.52389132263326
115,1059001,manndalen_bru,2114,Norway,20.52561920584574,69.52389132263326
123,1059001,manndalen_bru,2943,Norway,20.52561920584574,69.52389132263326
144,1058709,masi,1566,Norway,23.635036293110392,69.42004089674433
145,1058709,masi,1565,Norway,23.635036293110392,69.42004089674433
146,1058709,masi,1625,Norway,23.635036293110392,69.42004089674433
149,1058709,masi,1924,Norway,23.635036293110392,69.42004089674433
155,1058709,masi,2043,Norway,23.635036293110392,69.42004089674433
156,1058709,masi,2103,Norway,23.635036293110392,69.42004089674433
192,1057779,skogfjordv,2115,Norway,19.104124111066913,69.98092589102815
193,1057779,skogfjordv,2054,Norway,19.104124111066913,69.98092589102815
197,1057779,skogfjordv,2055,Norway,19.104124111066913,69.98092589102815
205,1057779,skogfjordv,2523,Norway,19.104124111066913,69.98092589102815
240,1075427,berget,2947,Norway,13.878476032150042,66.45671640683891
242,1075427,berget,2888,Norway,13.878476032150042,66.45671640683891
256,1075427,berget,2829,Norway,13.878476032150042,66.45671640683891
288,1122920,fonnerdalsv,2952,Norway,6.283018142916976,60.06708084591429
290,1122920,fonnerdalsv,2951,Norway,6.283018142916976,60.06708084591429
297,1122920,fonnerdalsv,2950,Norway,6.283018142916976,60.06708084591429
336,1078355,fustvatn,2353,Norway,13.307592756877892,65.90523696695723
337,1078355,fustvatn,2230,Norway,13.307592756877892,65.90523696695723
338,1078355,fustvatn,2289,Norway,13.307592756877892,65.90523696695723
345,1078355,fustvatn,2354,Norway,13.307592756877892,65.90523696695723
349,1078355,fustvatn,2406,Norway,13.307592756877892,65.90523696695723
357,1078355,fustvatn,2465,Norway,13.307592756877892,65.90523696695723
366,1078355,fustvatn,2347,Norway,13.307592756877892,65.90523696695723
370,1078355,fustvatn,2229,Norway,13.307592756877892,65.90523696695723
384,1134078,haugland,1753,Norway,5.647619171261855,58.69289244123182
385,1134078,haugland,1825,Norway,5.647619171261855,58.69289244123182
387,1134078,haugland,1160,Norway,5.647619171261855,58.69289244123182
388,1134078,haugland,1219,Norway,5.647619171261855,58.69289244123182
392,1134078,haugland,1534,Norway,5.647619171261855,58.69289244123182
393,1134078,haugland,1586,Norway,5.647619171261855,58.69289244123182
394,1134078,haugland,1473,Norway,5.647619171261855,58.69289244123182
403,1134078,haugland,1934,Norway,5.647619171261855,58.69289244123182
406,1134078,haugland,1874,Norway,5.647619171261855,58.69289244123182
415,1134078,haugland,1705,Norway,5.647619171261855,58.69289244123182
424,1134078,haugland,1474,Norway,5.647619171261855,58.69289244123182
429,1134078,haugland,1765,Norway,5.647619171261855,58.69289244123182
432,1073493,junkerdalselv,2583,Norway,15.410687645277129,66.81479810130426
434,1073493,junkerdalselv,2113,Norway,15.410687645277129,66.81479810130426
